,k1,L1,k2,L2,k3,L3,rho1
0,1,1,1,0,1,1,0.41658214
1,1,1,1,2,1,1,-0.48102762
2,1,2,1,2,1,1,0.0
3,1,3,1,2,1,1,0.5376813
4,2,3,1,2,1,1,0.0
5,1,3,1,4,1,1,-0.3743932
6,2,3,1,4,1,1,-0.0
7,1,4,1,4,1,1,0.0
8,1,5,1,4,1,1,0.35474115
9,2,5,1,4,1,1,-0.0
10,1,5,1,6,1,1,-0.15242125
11,2,5,1,6,1,1,0.0
12,1,6,1,6,1,1,0.0
13,1,7,1,6,1,1,0.12933204
14,2,7,1,6,1,1,0.0
