rho1324,rho24,rho13,rho1234,rho34,rho12,value
0,0,0,0,0,0,0.79360551
0,0,0,0,0,1,-0.01273948
0,0,0,0,0,2,-0.00005714
1,0,0,0,0,0,-0.0191985
1,0,0,0,0,1,0.6161379
1,0,0,0,0,2,-0.00977085
2,0,0,0,0,0,-0.0009578
2,0,0,0,0,1,-0.03495104
2,0,0,0,0,2,0.3666098
