rho1324,rho24,rho13,rho1234,rho34,rho12,value
0,0,0,0,0,0,0.86758215
0,0,0,0,0,1,0.00168036
0,0,0,0,0,2,-0.00012802
1,0,0,0,0,0,-0.03892291
1,0,0,0,0,1,0.66236607
1,0,0,0,0,2,-0.00134493
2,0,0,0,0,0,0.0000928
2,0,0,0,0,1,-0.04557902
2,0,0,0,0,2,0.38568236
