rho1324,rho24,rho13,rho1234,rho34,rho12,value
0,0,0,0,0,0,-0.8116357
0,0,0,0,0,1,-0.0024601
0,0,0,0,0,2,0.00021674
1,0,0,0,0,0,0.04677166
1,0,0,0,0,1,-0.61958765
1,0,0,0,0,2,0.00152034
2,0,0,0,0,0,-0.00011079
2,0,0,0,0,1,0.06094766
2,0,0,0,0,2,-0.36019319
3,0,0,0,0,0,-0.0000618
3,0,0,0,0,1,-0.00173027
3,0,0,0,0,2,0.04718185
