,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3
96,1,7,1,1,4,6,-0.0,-0.0,0.0
97,2,7,1,1,4,6,-0.0,0.0,-0.0
98,3,7,1,1,4,6,0.00020109,0.00031511,-0.00061099
99,4,7,1,1,4,6,-0.07243202,0.02403202,0.10810442
100,1,7,1,1,1,7,-0.00919933,0.02101565,0.00777631
101,2,7,1,1,1,7,0.06349671,0.00359007,0.03045042
102,3,7,1,1,1,7,0.00422084,-0.01716248,0.01176922
103,4,7,1,1,1,7,3.25e-06,-3.473e-05,6.331e-05
104,1,7,1,1,2,7,0.0,-0.0,0.0
105,2,7,1,1,2,7,-0.00639881,0.0057379,0.00917814
106,3,7,1,1,2,7,0.11442811,-0.00548994,-0.02989245
107,4,7,1,1,2,7,0.00177653,-0.0087577,0.00878815
108,1,7,1,1,3,7,-0.0,0.0,-0.0
109,2,7,1,1,3,7,0.0,-0.0,0.0
110,3,7,1,1,3,7,-0.0046148,-0.00225954,0.00395932
111,4,7,1,1,3,7,0.13287359,-0.02979536,-0.19927515
112,1,7,1,1,1,8,0.13283735,-0.00161315,0.10326126
113,2,7,1,1,1,8,0.00916247,-0.02372119,0.00565759
114,3,7,1,1,1,8,1.136e-05,-0.00011188,0.00014293
115,4,7,1,1,1,8,0.0,-5e-08,1.8e-07
116,1,7,1,1,2,8,0.01263317,-0.02383922,-0.0074932
117,2,7,1,1,2,8,0.12459696,-0.00583006,0.06523135
118,3,7,1,1,2,8,0.00321916,-0.01123707,0.00654341
119,4,7,1,1,2,8,2e-06,-2.148e-05,3.557e-05
120,1,7,1,1,3,8,-0.0,0.0,-0.0
121,2,7,1,1,3,8,0.01228333,-0.00915604,-0.01256197
122,3,7,1,1,3,8,0.10064959,-0.01698295,-0.02476915
123,4,7,1,1,3,8,0.00096364,-0.00420377,0.00355291
124,1,7,1,1,4,8,0.0,-0.0,0.0
125,2,7,1,1,4,8,-0.0,0.0,-0.0
126,3,7,1,1,4,8,0.0141904,0.00522595,-0.00868976
127,4,7,1,1,4,8,0.05957521,-0.02197929,-0.09139473
128,1,7,1,1,5,8,0.0,0.0,-0.0
129,2,7,1,1,5,8,0.0,-0.0,0.0
130,3,7,1,1,5,8,0.0,0.0,-0.0
131,4,7,1,1,5,8,0.011482,0.01663844,0.00703743
132,1,8,1,1,1,7,-0.19476914,0.01226418,-0.10014321
133,2,8,1,1,1,7,0.00166708,-0.01307272,0.01250613
134,3,8,1,1,1,7,4.17e-06,-4.563e-05,9.969e-05
135,1,8,1,1,2,7,0.00058543,-0.00152207,-0.00355254
136,2,8,1,1,2,7,-0.15701616,0.02593291,0.03799566
137,3,8,1,1,2,7,0.00132063,-0.01057254,0.01488308
138,1,8,1,1,3,7,-0.0,0.0,-0.0
139,2,8,1,1,3,7,0.00014285,0.00052068,-0.00103474
140,3,8,1,1,3,7,-0.09275389,0.0308666,0.13958181
141,1,8,1,1,1,8,0.00999074,-0.03120544,0.00807358
142,2,8,1,1,1,8,2.155e-05,-0.00020918,0.00029662
143,3,8,1,1,1,8,1e-08,-1.5e-07,5.9e-07
144,1,8,1,1,2,8,0.0548873,0.00549494,0.02627962
145,2,8,1,1,2,8,0.00496484,-0.02019331,0.01386749
