,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3
431,3,14,1,1,2,14,4.199e-05,-0.00045428,0.00083655
432,1,14,1,1,3,14,-0.01365915,0.01224835,0.01959203
433,2,14,1,1,3,14,0.04976112,0.01651225,-0.01772358
434,3,14,1,1,3,14,0.00520512,-0.02587568,0.02656251
435,1,14,1,1,4,14,0.0,-0.0,0.0
436,2,14,1,1,4,14,-0.01391274,-0.00681207,0.0119366
437,3,14,1,1,4,14,0.05798701,0.00757952,-0.09609218
438,1,14,1,1,5,14,-0.0,0.0,-0.0
439,2,14,1,1,5,14,-0.0,-0.0,0.0
440,3,14,1,1,5,14,-0.01294021,-0.02425051,-0.01228743
441,1,14,1,1,1,15,0.07655854,-0.00058938,0.04641218
442,2,14,1,1,1,15,0.00970458,-0.03330243,0.01847107
443,3,14,1,1,1,15,3.442e-05,-0.00038381,0.00061598
444,1,14,1,1,2,15,0.02757124,-0.0191308,-0.02433084
445,2,14,1,1,2,15,0.06674116,-0.01047261,-0.02009319
446,3,14,1,1,2,15,0.0046654,-0.02032973,0.01646901
447,1,14,1,1,3,15,-0.0,0.0,-0.0
448,2,14,1,1,3,15,0.03477231,0.01145625,-0.01856248
449,3,14,1,1,3,15,0.04947947,-0.02179932,-0.09055339
450,1,14,1,1,4,15,0.0,-0.0,0.0
451,2,14,1,1,4,15,0.0,0.0,-0.0
452,3,14,1,1,4,15,0.04129708,0.05462545,0.02117799
453,1,15,1,1,1,14,-0.19191673,0.00165682,-0.16136422
454,2,15,1,1,1,14,-0.00665594,-0.00976781,0.00514941
455,3,15,1,1,1,14,4.01e-05,-0.00041186,0.00105199
456,4,15,1,1,1,14,1e-07,-2.57e-06,1.032e-05
457,1,15,1,1,2,14,-0.00581446,-0.00443226,-0.00632524
458,2,15,1,1,2,14,-0.18395394,0.00927881,-0.10359269
459,3,15,1,1,2,14,-0.00270143,-0.00959781,0.0185504
460,4,15,1,1,2,14,1.832e-05,-0.00022134,0.00066913
461,1,15,1,1,3,14,-0.0,0.0,-0.0
462,2,15,1,1,3,14,-0.00527576,-0.00010063,-0.00557766
463,3,15,1,1,3,14,-0.16148079,0.02642149,0.04329907
464,4,15,1,1,3,14,-0.00103854,-0.00932844,0.02515282
465,1,15,1,1,4,14,0.0,-0.0,0.0
466,2,15,1,1,4,14,-0.0,0.0,0.0
467,3,15,1,1,4,14,-0.00604246,0.00063867,-0.00209573
468,4,15,1,1,4,14,-0.11883311,0.04174929,0.19669775
469,1,15,1,1,5,14,-0.0,0.0,-0.0
470,2,15,1,1,5,14,0.0,-0.0,0.0
471,3,15,1,1,5,14,0.0,-0.0,0.0
472,4,15,1,1,5,14,-0.00619308,-0.00095068,0.00256046
473,1,15,1,1,1,15,-0.01849588,0.04225338,0.0156348
474,2,15,1,1,1,15,0.02527509,0.01224126,0.01047256
475,3,15,1,1,1,15,0.00935688,-0.03826523,0.0267458
476,4,15,1,1,1,15,5.201e-05,-0.00056436,0.00104213
477,1,15,1,1,2,15,0.0,-0.0,0.0
478,2,15,1,1,2,15,-0.0145936,0.01308628,0.02093235
479,3,15,1,1,2,15,0.04487653,0.01871896,-0.01698327
480,4,15,1,1,2,15,0.00558754,-0.02782591,0.02869182
481,1,15,1,1,3,15,-0.0,0.0,-0.0
482,2,15,1,1,3,15,0.0,-0.0,0.0
483,3,15,1,1,3,15,-0.0150215,-0.00735495,0.01288789
484,4,15,1,1,3,15,0.05235013,0.01098741,-0.08878131
485,1,15,1,1,4,15,0.0,-0.0,-0.0
486,2,15,1,1,4,15,-0.0,0.0,-0.0
487,3,15,1,1,4,15,-0.0,-0.0,0.0
488,4,15,1,1,4,15,-0.01426709,-0.02673712,-0.01354737
489,1,15,1,1,1,16,0.07225216,0.00079489,0.06792342
490,2,15,1,1,1,16,0.02417378,-0.0605389,0.01391612
491,3,15,1,1,1,16,0.00013682,-0.00140667,0.00172552
492,4,15,1,1,1,16,1.6e-07,-4.11e-06,1.564e-05
493,1,15,1,1,2,16,0.03144352,-0.05438908,-0.01551214
494,2,15,1,1,2,16,0.06647357,0.00362949,0.04405687
495,3,15,1,1,2,16,0.01065599,-0.03661523,0.02022046
496,4,15,1,1,2,16,4.391e-05,-0.00049282,0.00078898
497,1,15,1,1,3,16,-0.0,0.0,-0.0
498,2,15,1,1,3,16,0.02996724,-0.02064174,-0.02603287
499,3,15,1,1,3,16,0.05979776,-0.0090358,-0.0190247
500,4,15,1,1,3,16,0.00520481,-0.02281227,0.01849013
501,1,15,1,1,4,16,0.0,-0.0,0.0
502,2,15,1,1,4,16,-0.0,0.0,-0.0
503,3,15,1,1,4,16,0.0378124,0.01231627,-0.01989885
504,4,15,1,1,4,16,0.04471811,-0.02047584,-0.08577855
505,1,15,1,1,5,16,0.0,0.0,0.0
506,2,15,1,1,5,16,0.0,-0.0,0.0
507,3,15,1,1,5,16,0.0,0.0,-0.0
508,4,15,1,1,5,16,0.04520232,0.05925038,0.02275233
509,1,16,1,1,1,15,-0.18068894,0.00824666,-0.10389659
510,2,16,1,1,1,15,-0.00366624,-0.00819074,0.01918722
511,3,16,1,1,1,15,1.955e-05,-0.00024356,0.00079134
512,1,16,1,1,2,15,-0.00677502,0.0004848,-0.00549213
513,2,16,1,1,2,15,-0.15867559,0.02588894,0.04346169
514,3,16,1,1,2,15,-0.00161212,-0.00829493,0.02621809
515,1,16,1,1,3,15,-0.0,0.0,-0.0
516,2,16,1,1,3,15,-0.00775329,0.00045827,-0.00195806
517,3,16,1,1,3,15,-0.11758008,0.04182999,0.19852607
518,1,16,1,1,4,15,-0.0,-0.0,-0.0
519,2,16,1,1,4,15,-0.0,0.0,-0.0
520,3,16,1,1,4,15,-0.00806799,-0.00210131,0.00265209
521,1,16,1,1,1,16,0.01829225,-0.05719633,0.01483744
522,2,16,1,1,1,16,0.00016875,-0.00166093,0.00237998
523,3,16,1,1,1,16,2.7e-07,-6.72e-06,2.583e-05
524,1,16,1,1,2,16,0.02144907,0.01602479,0.01035106
525,2,16,1,1,2,16,0.00989105,-0.04041334,0.0282677
526,3,16,1,1,2,16,6.356e-05,-0.00069114,0.00127797
527,1,16,1,1,3,16,-0.01547147,0.01387348,0.02219153
528,2,16,1,1,3,16,0.04048915,0.02077939,-0.01635242
529,3,16,1,1,3,16,0.00594807,-0.02967877,0.03074804
530,1,16,1,1,4,16,0.0,-0.0,0.0
531,2,16,1,1,4,16,-0.01609102,-0.00787862,0.01380549
532,3,16,1,1,4,16,0.04729421,0.01412959,-0.08233394
533,1,16,1,1,5,16,-0.0,0.0,0.0
534,2,16,1,1,5,16,-0.0,-0.0,0.0
535,3,16,1,1,5,16,-0.01553631,-0.02911571,-0.01475257
536,1,16,1,1,1,17,0.06042618,0.00105925,0.03983491
537,2,16,1,1,1,17,0.01155564,-0.04000508,0.02215994
538,3,16,1,1,1,17,5.466e-05,-0.00061844,0.0009906
539,1,16,1,1,2,17,0.03232785,-0.02211655,-0.02767219
540,2,16,1,1,2,17,0.05264645,-0.00751555,-0.01792297
541,3,16,1,1,2,17,0.00573218,-0.02530709,0.02055567
542,1,16,1,1,3,17,-0.0,0.0,-0.0
543,2,16,1,1,3,17,0.04087183,0.0131717,-0.02122335
544,3,16,1,1,3,17,0.03968282,-0.01899676,-0.08060667
545,1,16,1,1,4,17,0.0,-0.0,-0.0
546,2,16,1,1,4,17,0.0,0.0,-0.0
547,3,16,1,1,4,17,0.04910133,0.06382131,0.02428724
548,1,17,1,1,1,16,-0.18349872,8.557e-05,-0.16045959
549,2,17,1,1,1,16,-0.01055315,-0.0055077,0.00475373
550,3,17,1,1,1,16,4.232e-05,-0.0004542,0.00142089
551,4,17,1,1,1,16,1.8e-07,-4.56e-06,1.862e-05
552,1,17,1,1,2,16,-0.00956783,-0.00104592,-0.00644433
553,2,17,1,1,2,16,-0.17548547,0.00749983,-0.10294672
554,3,17,1,1,2,16,-0.00472966,-0.00653601,0.0196695
555,4,17,1,1,2,16,2.024e-05,-0.00026188,0.00092396
556,1,17,1,1,3,16,-0.0,0.0,0.0
557,2,17,1,1,3,16,-0.00845481,0.00116528,-0.0053295
558,3,17,1,1,3,16,-0.15528465,0.02524179,0.04353673
559,4,17,1,1,3,16,-0.00223236,-0.00708345,0.02721077
560,1,17,1,1,4,16,0.0,-0.0,-0.0
561,2,17,1,1,4,16,0.0,0.0,0.0
562,3,17,1,1,4,16,-0.0096656,0.00022871,-0.00174768
563,4,17,1,1,4,16,-0.11571649,0.04173692,0.1996762
564,1,17,1,1,5,16,-0.0,0.0,0.0
565,2,17,1,1,5,16,0.0,-0.0,-0.0
566,3,17,1,1,5,16,0.0,0.0,-0.0
567,4,17,1,1,5,16,-0.01018804,-0.00350822,0.00267187
568,1,17,1,1,1,17,-0.02057254,0.04699749,0.01739023
569,2,17,1,1,1,17,0.02081467,0.01351856,0.00809254
570,3,17,1,1,1,17,0.01037692,-0.04254814,0.02995199
571,4,17,1,1,1,17,7.616e-05,-0.00083112,0.0015422
572,1,17,1,1,2,17,0.0,-0.0,-0.0
573,2,17,1,1,2,17,-0.01636283,0.01467278,0.02347006
574,3,17,1,1,2,17,0.03651768,0.02270198,-0.01581424
575,4,17,1,1,2,17,0.00628685,-0.03143572,0.03273335
576,1,17,1,1,3,17,-0.0,0.0,0.0
577,2,17,1,1,3,17,0.0,-0.0,0.0
578,3,17,1,1,3,17,-0.0171225,-0.00838366,0.01469046
579,4,17,1,1,3,17,0.04272234,0.01703445,-0.07660961
580,1,17,1,1,4,17,0.0,0.0,-0.0
581,2,17,1,1,4,17,-0.0,0.0,0.0
582,3,17,1,1,4,17,-0.0,-0.0,0.0
583,4,17,1,1,4,17,-0.01675208,-0.0313941,-0.015907
584,1,17,1,1,1,18,0.05575934,0.00035759,0.05793107
585,2,17,1,1,1,18,0.0278336,-0.0701971,0.01608239
586,3,17,1,1,1,18,0.00020198,-0.00210852,0.00257982
587,4,17,1,1,1,18,3.1e-07,-8.06e-06,3.074e-05
588,1,17,1,1,2,18,0.03662353,-0.06241466,-0.01747468
589,2,17,1,1,2,18,0.04915259,0.00684377,0.03770701
590,3,17,1,1,2,18,0.01247287,-0.04330156,0.02390287
591,4,17,1,1,2,18,6.731e-05,-0.00076735,0.00122709
592,1,17,1,1,3,18,-0.0,0.0,0.0
593,2,17,1,1,3,18,0.03479122,-0.02365092,-0.02937022
594,3,17,1,1,3,18,0.04533438,-0.00591388,-0.01679323
595,4,17,1,1,3,18,0.00624279,-0.0278039,0.02266658
596,1,17,1,1,4,18,0.0,-0.0,-0.0
597,2,17,1,1,4,18,-0.0,0.0,-0.0
598,3,17,1,1,4,18,0.0439426,0.01402101,-0.02253396
599,4,17,1,1,4,18,0.03444082,-0.01737725,-0.07511869
600,1,17,1,1,5,18,-0.0,0.0,0.0
601,2,17,1,1,5,18,0.0,-0.0,-0.0
602,3,17,1,1,5,18,-0.0,0.0,-0.0
603,4,17,1,1,5,18,0.05299085,0.06833958,0.0257855
604,1,18,1,1,1,17,-0.1717251,0.00654556,-0.10309571
605,2,18,1,1,1,17,-0.00582779,-0.00470571,0.02019611
606,3,18,1,1,1,17,2.006e-05,-0.00027371,0.00106366
607,1,18,1,1,2,17,-0.0102651,0.00193383,-0.00505845
608,2,18,1,1,2,17,-0.15134509,0.02448192,0.04352959
609,3,18,1,1,2,17,-0.00289557,-0.00569978,0.02813108
610,1,18,1,1,3,17,-0.0,0.0,0.0
611,2,18,1,1,3,17,-0.01177617,-4.957e-05,-0.00146508
612,3,18,1,1,3,17,-0.11330603,0.04148438,0.20022988
613,1,18,1,1,4,17,0.0,-0.0,0.0
614,2,18,1,1,4,17,0.0,0.0,-0.0
615,3,18,1,1,4,17,-0.01254974,-0.00516951,0.00261944
616,1,18,1,1,1,18,0.020004,-0.06261739,0.01628647
617,2,18,1,1,1,18,0.00023553,-0.00233054,0.00335248
618,3,18,1,1,1,18,4.9e-07,-1.227e-05,4.725e-05
619,1,18,1,1,2,18,0.01685263,0.01835207,0.00866882
620,2,18,1,1,2,18,0.01086387,-0.04446089,0.03128597
621,3,18,1,1,2,18,9.063e-05,-0.00099139,0.0018416
622,1,18,1,1,3,18,-0.01717125,0.0153977,0.02462962
623,2,18,1,1,3,18,0.03289312,0.02449674,-0.01534816
624,3,18,1,1,3,18,0.00660378,-0.03309689,0.03464826
625,1,18,1,1,4,18,0.0,-0.0,0.0
626,2,18,1,1,4,18,-0.01811648,-0.00887034,0.01554326
627,3,18,1,1,4,18,0.03855875,0.01972333,-0.07149861
628,1,18,1,1,5,18,-0.0,0.0,-0.0
629,2,18,1,1,5,18,-0.0,-0.0,0.0
630,3,18,1,1,5,18,-0.01791725,-0.03357768,-0.01701339
631,1,18,1,1,1,19,0.04398234,0.00261772,0.03292217
632,2,18,1,1,1,19,0.01329465,-0.0467077,0.02597777
633,3,18,1,1,1,19,8.104e-05,-0.00093288,0.00149577
634,1,18,1,1,2,19,0.03714687,-0.02510243,-0.03095113
635,2,18,1,1,2,19,0.03791432,-0.00423973,-0.01564914
636,3,18,1,1,2,19,0.00673191,-0.03029266,0.02482438
637,1,18,1,1,3,19,-0.0,0.0,-0.0
638,2,18,1,1,3,19,0.04701571,0.01486231,-0.02382805
639,3,18,1,1,3,19,0.02904669,-0.01562808,-0.06937672
640,1,18,1,1,4,19,0.0,-0.0,0.0
641,2,18,1,1,4,19,0.0,0.0,-0.0
642,3,18,1,1,4,19,0.05686475,0.07280214,0.02724799
643,1,19,1,1,1,18,-0.17336431,-0.00147644,-0.1587091
644,2,19,1,1,1,18,-0.01497539,-7.239e-05,0.00412149
645,3,19,1,1,1,18,3.661e-05,-0.0004307,0.00182756
646,4,19,1,1,1,18,2.9e-07,-7.49e-06,3.103e-05
647,1,19,1,1,2,18,-0.01400559,0.00332063,-0.00635498
648,2,19,1,1,2,18,-0.16482297,0.00527303,-0.10162037
649,3,19,1,1,2,18,-0.00704112,-0.00261971,0.02050798
650,4,19,1,1,2,18,1.899e-05,-0.00027837,0.00121341
651,1,19,1,1,3,18,-0.0,0.0,-0.0
652,2,19,1,1,3,18,-0.01227573,0.00280182,-0.00471827
653,3,19,1,1,3,18,-0.14688247,0.02360892,0.04344635
654,4,19,1,1,3,18,-0.00359789,-0.00414926,0.02897759
655,1,19,1,1,4,18,0.0,-0.0,0.0
656,2,19,1,1,4,18,-0.0,0.0,-0.0
657,3,19,1,1,4,18,-0.01408127,-0.00037596,-0.00111094
658,4,19,1,1,4,18,-0.11039762,0.04108109,0.20024586
659,1,19,1,1,5,18,-0.0,0.0,-0.0
660,2,19,1,1,5,18,0.0,-0.0,-0.0
661,3,19,1,1,5,18,0.0,0.0,-0.0
662,4,19,1,1,5,18,-0.01514891,-0.00708233,0.00249479
663,1,19,1,1,1,19,-0.02252626,0.05146071,0.01904174
664,2,19,1,1,1,19,0.01717698,0.01446956,0.00616263
665,3,19,1,1,1,19,0.01128448,-0.04642401,0.0329485
666,4,19,1,1,1,19,0.00010583,-0.00116274,0.00216958
667,1,19,1,1,2,19,0.0,-0.0,0.0
668,2,19,1,1,2,19,-0.01802333,0.01616177,0.02585179
669,3,19,1,1,2,19,0.02956902,0.02616465,-0.01494891
670,4,19,1,1,2,19,0.00689863,-0.03466212,0.03649312
671,1,19,1,1,3,19,-0.0,0.0,-0.0
672,2,19,1,1,3,19,0.0,-0.0,0.0
673,3,19,1,1,3,19,-0.01907315,-0.00933875,0.01636404
674,4,19,1,1,3,19,0.03474345,0.02221233,-0.06691407
675,1,19,1,1,4,19,-0.0,-0.0,0.0
676,2,19,1,1,4,19,-0.0,0.0,0.0
677,3,19,1,1,4,19,-0.0,-0.0,0.0
678,4,19,1,1,4,19,-0.01903375,-0.03567005,-0.01807357
679,1,19,1,1,1,20,0.03932339,-0.00073154,0.04766035
680,2,19,1,1,1,20,0.03121001,-0.07973214,0.01825304
681,3,19,1,1,1,20,0.00028369,-0.00301355,0.00368828
682,4,19,1,1,1,20,5.6e-07,-1.461e-05,5.589e-05
683,1,19,1,1,2,20,0.04181868,-0.07034131,-0.01936532
684,2,19,1,1,2,20,0.03140281,0.01038371,0.03116243
685,3,19,1,1,2,20,0.01415464,-0.04991792,0.02767095
686,4,19,1,1,2,20,9.723e-05,-0.00112888,0.00180805
687,1,19,1,1,3,20,-0.0,0.0,-0.0
688,2,19,1,1,3,20,0.03965922,-0.02665103,-0.03263864
689,3,19,1,1,3,20,0.03041595,-0.00248929,-0.01448806
690,4,19,1,1,3,20,0.00719485,-0.03276249,0.02702965
691,1,19,1,1,4,20,0.0,-0.0,0.0
692,2,19,1,1,4,20,-0.0,0.0,-0.0
693,3,19,1,1,4,20,0.05008155,0.01569349,-0.02510262
694,4,19,1,1,4,20,0.02354637,-0.01375709,-0.06343005
695,1,19,1,1,5,20,0.0,0.0,-0.0
696,2,19,1,1,5,20,0.0,-0.0,-0.0
697,3,19,1,1,5,20,0.0,0.0,-0.0
698,4,19,1,1,5,20,0.06071483,0.07720285,0.02867423
699,1,20,1,1,1,19,-0.16090216,0.00464226,-0.10163509
700,2,20,1,1,1,19,-0.00823964,-0.00038747,0.02092463
701,3,20,1,1,1,19,1.663e-05,-0.0002728,0.00136649
702,1,20,1,1,2,19,-0.01437357,0.00374371,-0.0042647
703,2,20,1,1,2,19,-0.14192823,0.02262328,0.04328909
704,3,20,1,1,2,19,-0.00433513,-0.00243734,0.02974824
705,1,20,1,1,3,19,-0.0,0.0,0.0
706,2,20,1,1,3,19,-0.01657646,-0.00074976,-0.00068615
707,3,20,1,1,3,19,-0.10703048,0.04053183,0.19976723
708,1,20,1,1,4,19,0.0,0.0,-0.0
709,2,20,1,1,4,19,0.0,0.0,0.0
710,3,20,1,1,4,19,-0.01798062,-0.00924299,0.00229822
711,1,20,1,1,1,20,0.02153373,-0.0675218,0.01763379
712,2,20,1,1,1,20,0.00031569,-0.00314314,0.00454169
713,3,20,1,1,1,20,8.4e-07,-2.094e-05,8.081e-05
714,1,20,1,1,2,20,0.01284162,0.02060035,0.00748472
715,2,20,1,1,2,20,0.01172432,-0.04807158,0.03404387
716,3,20,1,1,2,20,0.00012349,-0.00136005,0.00253931
717,1,20,1,1,3,20,-0.01875092,0.0168142,0.02689541
718,2,20,1,1,3,20,0.02649591,0.02771509,-0.01459558
719,3,20,1,1,3,20,0.00717104,-0.03612992,0.03826627
720,1,20,1,1,4,20,0.0,-0.0,0.0
721,2,20,1,1,4,20,-0.01999222,-0.00978876,0.01715257
722,3,20,1,1,4,20,0.03122832,0.02451362,-0.06278633
723,1,20,1,1,5,20,-0.0,0.0,0.0
724,2,20,1,1,5,20,-0.0,-0.0,0.0
725,3,20,1,1,5,20,-0.02010277,-0.03767344,-0.01908866
726,1,20,1,1,1,21,0.02751658,0.00403063,0.02573351
727,2,20,1,1,1,21,0.0148591,-0.0533063,0.02992682
728,3,20,1,1,1,21,0.00011394,-0.00133815,0.00215417
729,1,20,1,1,2,21,0.04195492,-0.02804628,-0.03412675
730,2,20,1,1,2,21,0.02289353,-0.00067645,-0.01332915
731,3,20,1,1,2,21,0.00762694,-0.03520348,0.02928438
732,1,20,1,1,3,21,-0.0,0.0,-0.0
733,2,20,1,1,3,21,0.05312971,0.01651217,-0.02635423
734,3,20,1,1,3,21,0.01797976,-0.01177018,-0.057319
735,1,20,1,1,4,21,0.0,-0.0,-0.0
736,2,20,1,1,4,21,0.0,0.0,-0.0
737,3,20,1,1,4,21,0.06453138,0.08153331,0.03006275
738,1,21,1,1,1,20,-0.16165476,-0.00289322,-0.1560899
739,2,21,1,1,1,20,-0.01981957,0.00647597,0.00325721
740,3,21,1,1,1,20,1.916e-05,-0.00030665,0.00225334
741,4,21,1,1,1,20,4.3e-07,-1.149e-05,4.854e-05
742,1,21,1,1,2,20,-0.01908154,0.0086208,-0.00605883
743,2,21,1,1,2,20,-0.15203757,0.00255772,-0.0996116
744,3,21,1,1,2,20,-0.00958993,0.00210941,0.02104643
745,4,21,1,1,2,20,1.294e-05,-0.00025571,0.00152953
746,1,21,1,1,3,20,-0.0,0.0,-0.0
747,2,21,1,1,3,20,-0.0167137,0.00479754,-0.00375014
748,3,21,1,1,3,20,-0.13649633,0.02152128,0.04306274
749,4,21,1,1,3,20,-0.00510293,-0.00056945,0.03043942
750,1,21,1,1,4,20,-0.0,-0.0,0.0
751,2,21,1,1,4,20,0.0,0.0,0.0
752,3,21,1,1,4,20,-0.01925681,-0.0011701,-0.00019178
753,4,21,1,1,4,20,-0.10323741,0.03983854,0.19882619
754,1,21,1,1,5,20,0.0,0.0,0.0
755,2,21,1,1,5,20,0.0,-0.0,0.0
756,3,21,1,1,5,20,0.0,0.0,-0.0
757,4,21,1,1,5,20,-0.02103919,-0.01164693,0.00203032
758,1,21,1,1,1,21,-0.02434395,0.05561317,0.02057825
759,2,21,1,1,1,21,0.01415302,0.01508764,0.00458354
760,3,21,1,1,1,21,0.0120713,-0.04987128,0.03572515
761,4,21,1,1,1,21,0.00014115,-0.00156298,0.0029349
762,1,21,1,1,2,21,0.0,-0.0,0.0
763,2,21,1,1,2,21,-0.01956904,0.01754782,0.02806888
764,3,21,1,1,2,21,0.02365143,0.02914181,-0.01429522
765,4,21,1,1,2,21,0.00742057,-0.03749974,0.03996753
766,1,21,1,1,3,21,-0.0,0.0,0.0
767,2,21,1,1,3,21,0.0,-0.0,-0.0
768,3,21,1,1,3,21,-0.02087331,-0.01022017,0.01790852
769,4,21,1,1,3,21,0.02797438,0.02663641,-0.05905891
770,1,21,1,1,4,21,-0.0,0.0,-0.0
771,2,21,1,1,4,21,-0.0,0.0,-0.0
772,3,21,1,1,4,21,-0.0,-0.0,0.0
773,4,21,1,1,4,21,-0.02112497,-0.03958908,-0.02005929
774,1,21,1,1,1,22,0.02321303,-0.00257908,0.03718765
775,2,21,1,1,1,22,0.03417493,-0.08897643,0.02041258
776,3,21,1,1,1,22,0.00038239,-0.0041438,0.00508774
777,4,21,1,1,1,22,9.5e-07,-2.492e-05,9.562e-05
778,1,21,1,1,2,22,0.046928,-0.07802331,-0.02115256
779,2,21,1,1,2,22,0.01349052,0.01423696,0.02449102
780,3,21,1,1,2,22,0.0156413,-0.05635028,0.03150795
781,4,21,1,1,2,22,0.00013404,-0.00158923,0.00255607
782,1,21,1,1,3,22,-0.0,0.0,-0.0
783,2,21,1,1,3,22,0.04450285,-0.02960302,-0.03580067
784,3,21,1,1,3,22,0.01535851,0.00121151,-0.01215817
785,4,21,1,1,3,22,0.00802358,-0.03760364,0.031588
786,1,21,1,1,4,22,0.0,-0.0,-0.0
787,2,21,1,1,4,22,-0.0,0.0,-0.0
788,3,21,1,1,4,22,0.05614973,0.01731592,-0.02757939
789,4,21,1,1,4,22,0.01238245,-0.0096719,-0.05107755
790,1,21,1,1,5,22,0.0,-0.0,0.0
791,2,21,1,1,5,22,0.0,-0.0,0.0
792,3,21,1,1,5,22,0.0,0.0,-0.0
793,4,21,1,1,5,22,0.06830356,0.08578347,0.03141141
794,1,22,1,1,1,21,-0.14837161,0.00258555,-0.09950368
795,2,22,1,1,1,21,-0.01084584,0.00471815,0.02135068
796,3,22,1,1,1,21,7.57e-06,-0.00022476,0.00168997
797,1,22,1,1,2,21,-0.01906435,0.00589762,-0.00312035
798,2,22,1,1,2,21,-0.13062405,0.02030476,0.04276766
799,3,22,1,1,2,21,-0.00589639,0.00144842,0.03104784
800,1,22,1,1,3,21,-0.0,0.0,-0.0
801,2,22,1,1,3,21,-0.02211647,-0.00163595,0.00037087
802,3,22,1,1,3,21,-0.09904701,0.03900101,0.19744724
803,1,22,1,1,4,21,0.0,-0.0,0.0
804,2,22,1,1,4,21,-0.0,0.0,-0.0
805,3,22,1,1,4,21,-0.02431818,-0.01428878,0.00169187
806,1,22,1,1,1,22,0.02286257,-0.07187147,0.01888237
807,2,22,1,1,1,22,0.00040921,-0.0041036,0.00595998
808,3,22,1,1,1,22,1.34e-06,-3.389e-05,0.00013103
809,1,22,1,1,2,22,0.00924378,0.02276911,0.00672662
810,2,22,1,1,2,22,0.01246501,-0.05121615,0.03651399
811,3,22,1,1,2,22,0.00016229,-0.00180129,0.00338186
812,1,22,1,1,3,22,-0.02020067,0.01811421,0.02897486
813,2,22,1,1,3,22,0.02099206,0.03045791,-0.01401897
814,3,22,1,1,3,22,0.00764674,-0.03876864,0.04159296
815,1,22,1,1,4,22,0.0,-0.0,0.0
816,2,22,1,1,4,22,-0.02171558,-0.01063256,0.01863115
817,3,22,1,1,4,22,0.02494976,0.02858758,-0.05568556
818,1,22,1,1,5,22,-0.0,0.0,-0.0
819,2,22,1,1,5,22,0.0,-0.0,0.0
820,3,22,1,1,5,22,-0.02210054,-0.04141735,-0.02098566
821,1,22,1,1,1,23,0.01129815,0.00524526,0.01832114
822,2,22,1,1,1,23,0.01618682,-0.05969308,0.03400925
823,3,22,1,1,1,23,0.00015342,-0.00184417,0.00298967
824,1,22,1,1,2,23,0.04667371,-0.03090285,-0.03715467
825,2,22,1,1,2,23,0.00787879,0.00314946,-0.01100741
826,3,22,1,1,2,23,0.00838016,-0.03995375,0.03394372
827,1,22,1,1,3,23,-0.0,0.0,-0.0
828,2,22,1,1,3,23,0.05913004,0.01810199,-0.02877404
829,3,22,1,1,3,23,0.00678694,-0.00746592,-0.04473515
830,1,22,1,1,4,23,0.0,-0.0,0.0
831,2,22,1,1,4,23,-0.0,0.0,-0.0
832,3,22,1,1,4,23,0.0720196,0.08994199,0.0327175
833,1,23,1,1,1,22,-0.14855108,-0.00400811,-0.15258926
834,2,23,1,1,1,22,-0.02495904,0.01405214,0.00216765
835,3,23,1,1,1,22,-1.435e-05,-4.21e-05,0.00267303
836,4,23,1,1,1,22,6.1e-07,-1.664e-05,7.201e-05
837,1,23,1,1,2,22,-0.02473294,0.01478756,-0.0055605
838,2,23,1,1,2,22,-0.13721877,-0.00068859,-0.09691647
839,3,23,1,1,2,22,-0.0123217,0.00759763,0.02126202
840,4,23,1,1,2,22,2.1e-07,-0.000176,0.00186104
841,1,23,1,1,3,22,-0.0,0.0,0.0
842,2,23,1,1,3,22,-0.02173658,0.00713707,-0.00243464
843,3,23,1,1,3,22,-0.12431092,0.01896496,0.04240819
844,4,23,1,1,3,22,-0.00671065,0.00361008,0.03156794
845,1,23,1,1,4,22,0.0,-0.0,0.0
846,2,23,1,1,4,22,-0.0,0.0,0.0
847,3,23,1,1,4,22,-0.02514932,-0.00214618,0.0010003
848,4,23,1,1,4,22,-0.09448513,0.03801743,0.19564937
849,1,23,1,1,5,22,-0.0,-0.0,-0.0
850,2,23,1,1,5,22,0.0,0.0,0.0
851,3,23,1,1,5,22,-0.0,0.0,0.0
852,4,23,1,1,5,22,-0.02781034,-0.01716232,0.00128394
853,1,23,1,1,1,23,-0.02601239,0.05942469,0.0219886
854,2,23,1,1,1,23,0.01160542,0.0153651,0.00329176
855,3,23,1,1,1,23,0.01272855,-0.05286794,0.03827032
856,4,23,1,1,1,23,0.00018206,-0.00203425,0.0038472
857,1,23,1,1,2,23,0.0,-0.0,0.0
858,2,23,1,1,2,23,-0.0209927,0.01882444,0.03011091
859,3,23,1,1,2,23,0.01851718,0.03164775,-0.01379142
860,4,23,1,1,2,23,0.00784901,-0.03993688,0.04314333
861,1,23,1,1,3,23,-0.0,0.0,-0.0
862,2,23,1,1,3,23,0.0,-0.0,-0.0
863,3,23,1,1,3,23,-0.02251842,-0.01102565,0.01931995
864,4,23,1,1,3,23,0.02212817,0.03037223,-0.05262803
865,1,23,1,1,4,23,0.0,0.0,0.0
866,2,23,1,1,4,23,-0.0,0.0,-0.0
867,3,23,1,1,4,23,-0.0,-0.0,0.0
868,4,23,1,1,4,23,-0.02302938,-0.04315803,-0.02186764
869,1,23,1,1,1,24,0.00768261,-0.00527811,0.02658794
