,k1,L1,k2,L2,k3,L3,rho1,rho2
532,3,16,1,1,4,16,0.04047402,0.08505655
533,1,16,1,1,5,16,-0.0,0.0
534,2,16,1,1,5,16,-0.0,-0.0
535,3,16,1,1,5,16,0.07144749,0.0566341
536,1,16,1,1,1,17,0.193519,-0.01994663
537,2,16,1,1,1,17,-0.00786846,0.02597684
538,3,16,1,1,1,17,-2.343e-05,0.00033721
539,1,16,1,1,2,17,-0.04321206,0.01758561
540,2,16,1,1,2,17,0.17095449,-0.02945874
541,3,16,1,1,2,17,-0.00321548,0.01499499
542,1,16,1,1,3,17,-0.0,0.0
543,2,16,1,1,3,17,-0.05659294,-0.01091415
544,3,16,1,1,3,17,0.12632862,-0.03424942
545,1,16,1,1,4,17,0.0,0.0
546,2,16,1,1,4,17,0.0,0.0
547,3,16,1,1,4,17,-0.07051817,-0.05589746
548,1,17,1,1,1,16,-0.00029976,0.00030179
549,2,17,1,1,1,16,-0.04394954,0.07125411
550,3,17,1,1,1,16,-0.00021614,0.00183816
551,4,17,1,1,1,16,-1.8e-07,3.83e-06
552,1,17,1,1,2,16,-0.05209811,0.05245105
553,2,17,1,1,2,16,0.00636439,-0.00332819
554,3,17,1,1,2,16,-0.02349523,0.05270779
555,4,17,1,1,2,16,-8.723e-05,0.00077776
556,1,17,1,1,3,16,-0.0,0.0
557,2,17,1,1,3,16,-0.04034477,0.01641873
558,3,17,1,1,3,16,0.00405216,0.01094166
559,4,17,1,1,3,16,-0.01410115,0.04054524
560,1,17,1,1,4,16,-0.0,-0.0
561,2,17,1,1,4,16,-0.0,0.0
562,3,17,1,1,4,16,-0.04104674,-0.00791601
563,4,17,1,1,4,16,0.00321705,0.0234184
564,1,17,1,1,5,16,0.0,0.0
565,2,17,1,1,5,16,0.0,0.0
566,3,17,1,1,5,16,0.0,0.0
567,4,17,1,1,5,16,-0.03897613,-0.03089512
568,1,17,1,1,1,17,0.06969201,-0.07016415
569,2,17,1,1,1,17,0.01716925,0.05248893
570,3,17,1,1,1,17,-0.02316534,0.0586737
571,4,17,1,1,1,17,-8.195e-05,0.00083631
572,1,17,1,1,2,17,0.0,-0.0
573,2,17,1,1,2,17,0.06076547,-0.02472915
574,3,17,1,1,2,17,0.0338252,0.08579847
575,4,17,1,1,2,17,-0.01199052,0.03960757
576,1,17,1,1,3,17,0.0,0.0
577,2,17,1,1,3,17,0.0,-0.0
578,3,17,1,1,3,17,0.07035736,0.01356866
579,4,17,1,1,3,17,0.03809687,0.0917055
580,1,17,1,1,4,17,-0.0,-0.0
581,2,17,1,1,4,17,-0.0,-0.0
582,3,17,1,1,4,17,-0.0,-0.0
583,4,17,1,1,4,17,0.07703846,0.06106589
584,1,17,1,1,1,18,0.20164482,-0.01277299
585,2,17,1,1,1,18,-0.02109718,0.04802148
586,3,17,1,1,1,18,-9.33e-05,0.00123799
587,4,17,1,1,1,18,-5e-08,2.58e-06
588,1,17,1,1,2,18,-0.04565376,0.04596305
589,2,17,1,1,2,18,0.19899521,-0.02365558
590,3,17,1,1,2,18,-0.00798339,0.02732859
591,4,17,1,1,2,18,-2.725e-05,0.00040791
592,1,17,1,1,3,18,-0.0,0.0
593,2,17,1,1,3,18,-0.04481741,0.01823892
594,3,17,1,1,3,18,0.17361212,-0.02991141
595,4,17,1,1,3,18,-0.00325136,0.01599931
596,1,17,1,1,4,18,0.0,-0.0
597,2,17,1,1,4,18,-0.0,0.0
598,3,17,1,1,4,18,-0.05856091,-0.01129367
599,4,17,1,1,4,18,0.12884461,-0.03479394
600,1,17,1,1,5,18,0.0,0.0
601,2,17,1,1,5,18,0.0,0.0
602,3,17,1,1,5,18,0.0,0.0
603,4,17,1,1,5,18,-0.07314526,-0.05797988
604,1,18,1,1,1,17,0.00946494,0.0002719
605,2,18,1,1,1,17,-0.02453396,0.05545518
606,3,18,1,1,1,17,-0.00010403,0.00092557
607,1,18,1,1,2,17,-0.04317943,0.01757232
608,2,18,1,1,2,17,0.01082898,0.00994616
609,3,18,1,1,2,17,-0.0147494,0.04262687
610,1,18,1,1,3,17,-0.0,0.0
611,2,18,1,1,3,17,-0.04466676,-0.00861414
612,3,18,1,1,3,17,0.00829069,0.02275291
613,1,18,1,1,4,17,0.0,0.0
614,2,18,1,1,4,17,-0.0,0.0
615,3,18,1,1,4,17,-0.04334091,-0.03435493
616,1,18,1,1,1,18,-0.0524874,0.09504664
617,2,18,1,1,1,18,-0.00027732,0.00266119
618,3,18,1,1,1,18,-2.4e-07,6.28e-06
619,1,18,1,1,2,18,0.02236411,0.04877545
620,2,18,1,1,2,18,-0.02440106,0.0622024
621,3,18,1,1,2,18,-9.84e-05,0.00100622
622,1,18,1,1,3,18,0.06376764,-0.02595092
623,2,18,1,1,3,18,0.03213764,0.09098558
624,3,18,1,1,3,18,-0.01267099,0.04232317
625,1,18,1,1,4,18,0.0,-0.0
626,2,18,1,1,4,18,0.07444171,0.01435634
627,3,18,1,1,4,18,0.03601622,0.09815478
628,1,18,1,1,5,18,-0.0,-0.0
629,2,18,1,1,5,18,-0.0,-0.0
630,3,18,1,1,5,18,0.08239678,0.06531326
631,1,18,1,1,1,19,0.19793755,-0.02006822
632,2,18,1,1,1,19,-0.00797487,0.02865704
633,3,18,1,1,1,19,-3.088e-05,0.00048317
634,1,18,1,1,2,19,-0.04617642,0.01879198
635,2,18,1,1,2,19,0.17592113,-0.03034141
636,3,18,1,1,2,19,-0.00324118,0.01693723
637,1,18,1,1,3,19,-0.0,0.0
638,2,18,1,1,3,19,-0.06038946,-0.01164632
639,3,18,1,1,3,19,0.1310219,-0.0353055
640,1,18,1,1,4,19,0.0,0.0
641,2,18,1,1,4,19,0.0,0.0
642,3,18,1,1,4,19,-0.07555495,-0.05988996
643,1,19,1,1,1,18,0.01370194,0.0008736
644,2,19,1,1,1,18,-0.04816133,0.0788786
645,3,19,1,1,1,18,-0.00030377,0.00257225
646,4,19,1,1,1,18,-3.3e-07,6.89e-06
647,1,19,1,1,2,18,-0.05836038,0.05875575
648,2,19,1,1,2,18,0.02245524,-0.00619331
649,3,19,1,1,2,18,-0.02564048,0.05806824
650,4,19,1,1,2,18,-0.00012359,0.00109692
651,1,19,1,1,3,18,-0.0,-0.0
652,2,19,1,1,3,18,-0.04616699,0.01878815
653,3,19,1,1,3,18,0.01759284,0.00889773
654,4,19,1,1,3,18,-0.01536416,0.04467258
655,1,19,1,1,4,18,0.0,0.0
656,2,19,1,1,4,18,-0.0,0.0
657,3,19,1,1,4,18,-0.04825454,-0.00930606
658,4,19,1,1,4,18,0.01338473,0.02199613
659,1,19,1,1,5,18,0.0,-0.0
660,2,19,1,1,5,18,0.0,-0.0
661,3,19,1,1,5,18,0.0,0.0
662,4,19,1,1,5,18,-0.04767917,-0.03779373
663,1,19,1,1,1,19,0.07631047,-0.07682745
664,2,19,1,1,1,19,0.01476844,0.05893733
665,3,19,1,1,1,19,-0.02544457,0.06583558
666,4,19,1,1,1,19,-0.0001159,0.00118913
667,1,19,1,1,2,19,0.0,0.0
668,2,19,1,1,2,19,0.06693194,-0.02723866
669,3,19,1,1,2,19,0.03067342,0.09603766
670,4,19,1,1,2,19,-0.01332214,0.04502809
671,1,19,1,1,3,19,0.0,-0.0
672,2,19,1,1,3,19,0.0,-0.0
673,3,19,1,1,3,19,0.07837272,0.01511445
674,4,19,1,1,3,19,0.03419296,0.1044143
675,1,19,1,1,4,19,-0.0,0.0
676,2,19,1,1,4,19,-0.0,0.0
677,3,19,1,1,4,19,-0.0,-0.0
678,4,19,1,1,4,19,0.08753128,0.0693832
679,1,19,1,1,1,20,0.20477235,-0.01145213
680,2,19,1,1,1,20,-0.02113574,0.0516317
681,3,19,1,1,1,20,-0.00011779,0.00168178
682,4,19,1,1,1,20,-8e-08,4.5e-06
683,1,19,1,1,2,20,-0.04870926,0.04903925
684,2,19,1,1,2,20,0.20366063,-0.02488307
685,3,19,1,1,2,20,-0.00794783,0.02980502
686,4,19,1,1,2,20,-3.479e-05,0.00057065
687,1,19,1,1,3,20,-0.0,0.0
688,2,19,1,1,3,20,-0.04763169,0.01938422
689,3,19,1,1,3,20,0.17790147,-0.03075621
690,4,19,1,1,3,20,-0.00318458,0.01780697
691,1,19,1,1,4,20,0.0,0.0
692,2,19,1,1,4,20,-0.0,0.0
693,3,19,1,1,4,20,-0.06208133,-0.0119726
694,4,19,1,1,4,20,0.13288175,-0.03579235
695,1,19,1,1,5,20,0.0,0.0
696,2,19,1,1,5,20,0.0,-0.0
697,3,19,1,1,5,20,0.0,0.0
698,4,19,1,1,5,20,-0.07776028,-0.06163805
699,1,20,1,1,1,19,0.02369455,-0.00082839
700,2,20,1,1,1,19,-0.02654244,0.06076706
701,3,20,1,1,1,19,-0.00014429,0.00127918
702,1,20,1,1,2,19,-0.04887879,0.01989174
703,2,20,1,1,2,19,0.0243062,0.00780442
704,3,20,1,1,2,19,-0.01594315,0.04668164
705,1,20,1,1,3,19,-0.0,0.0
706,2,20,1,1,3,19,-0.05180475,-0.00999073
707,3,20,1,1,3,19,0.01847615,0.02115253
708,1,20,1,1,4,19,0.0,0.0
709,2,20,1,1,4,19,0.0,-0.0
710,3,20,1,1,4,19,-0.05198315,-0.04120535
711,1,20,1,1,1,20,-0.05694474,0.10524571
712,2,20,1,1,1,20,-0.00037843,0.0036476
713,3,20,1,1,1,20,-4.1e-07,1.09e-05
714,1,20,1,1,2,20,0.02237629,0.05266984
715,2,20,1,1,2,20,-0.02663312,0.06931642
716,3,20,1,1,2,20,-0.00013663,0.001405
717,1,20,1,1,3,20,0.06963392,-0.02833826
718,2,20,1,1,3,20,0.02943217,0.10094186
719,3,20,1,1,3,20,-0.01394366,0.04772465
720,1,20,1,1,4,20,0.0,-0.0
721,2,20,1,1,4,20,0.08214923,0.01584276
722,3,20,1,1,4,20,0.03259588,0.11049064
723,1,20,1,1,5,20,-0.0,-0.0
724,2,20,1,1,5,20,-0.0,-0.0
725,3,20,1,1,5,20,0.09244744,0.07328009
726,1,20,1,1,1,21,0.20100961,-0.0199851
727,2,20,1,1,1,21,-0.00777255,0.03097323
728,3,20,1,1,1,21,-3.808e-05,0.00065941
729,1,20,1,1,2,21,-0.04874003,0.01983527
730,2,20,1,1,2,21,0.17954453,-0.0311505
731,3,20,1,1,2,21,-0.00308127,0.01860744
732,1,20,1,1,3,21,-0.0,0.0
733,2,20,1,1,3,21,-0.06363785,-0.01227278
734,3,20,1,1,3,21,0.13443984,-0.03626063
735,1,20,1,1,4,21,0.0,0.0
736,2,20,1,1,4,21,0.0,0.0
737,3,20,1,1,4,21,-0.07977058,-0.06323155
738,1,21,1,1,1,20,0.02699966,0.0020369
739,2,21,1,1,1,20,-0.05194115,0.08622723
740,3,21,1,1,1,20,-0.00041201,0.00347917
741,4,21,1,1,1,20,-5.6e-07,1.169e-05
742,1,21,1,1,2,20,-0.06439525,0.06483151
743,2,21,1,1,2,20,0.0384529,-0.0093054
744,3,21,1,1,2,20,-0.02758155,0.06325223
745,4,21,1,1,2,20,-0.00016878,0.00149354
746,1,21,1,1,3,20,0.0,-0.0
747,2,21,1,1,3,20,-0.05186841,0.0211084
748,3,21,1,1,3,20,0.030978,0.00665522
749,4,21,1,1,3,20,-0.01648397,0.04865151
750,1,21,1,1,4,20,-0.0,0.0
751,2,21,1,1,4,20,-0.0,0.0
752,3,21,1,1,4,20,-0.05531234,-0.01066718
753,4,21,1,1,4,20,0.02354518,0.02022483
754,1,21,1,1,5,20,0.0,0.0
755,2,21,1,1,5,20,0.0,0.0
756,3,21,1,1,5,20,0.0,0.0
757,4,21,1,1,5,20,-0.05624543,-0.04458393
758,1,21,1,1,1,21,0.08246811,-0.0830268
759,2,21,1,1,1,21,0.01270097,0.06533478
760,3,21,1,1,1,21,-0.02752778,0.07297341
761,4,21,1,1,1,21,-0.00015768,0.00162795
762,1,21,1,1,2,21,-0.0,0.0
763,2,21,1,1,2,21,0.07267211,-0.02957469
764,3,21,1,1,2,21,0.02835455,0.10571581
765,4,21,1,1,2,21,-0.01453482,0.05041602
766,1,21,1,1,3,21,0.0,-0.0
767,2,21,1,1,3,21,0.0,-0.0
768,3,21,1,1,3,21,0.0857697,0.01654098
769,4,21,1,1,3,21,0.03119977,0.11638773
770,1,21,1,1,4,21,-0.0,0.0
771,2,21,1,1,4,21,-0.0,-0.0
772,3,21,1,1,4,21,-0.0,-0.0
773,4,21,1,1,4,21,0.09714825,0.07700626
774,1,21,1,1,1,22,0.20651409,-0.00970079
775,2,21,1,1,1,22,-0.02056814,0.05467683
776,3,21,1,1,1,22,-0.00014126,0.00220216
777,4,21,1,1,1,22,-1.1e-07,7.4e-06
778,1,21,1,1,2,22,-0.05129468,0.05164218
779,2,21,1,1,2,22,0.20706475,-0.02609639
780,3,21,1,1,2,22,-0.00760412,0.03189915
781,4,21,1,1,2,22,-4.17e-05,0.00076516
782,1,21,1,1,3,22,-0.0,0.0
783,2,21,1,1,3,22,-0.05006187,0.02037321
784,3,21,1,1,3,22,0.18087566,-0.03153553
785,4,21,1,1,3,22,-0.00293116,0.01933655
786,1,21,1,1,4,22,0.0,0.0
787,2,21,1,1,4,22,-0.0,0.0
788,3,21,1,1,4,22,-0.06506017,-0.01254708
789,4,21,1,1,4,22,0.13570784,-0.03671492
790,1,21,1,1,5,22,0.0,-0.0
791,2,21,1,1,5,22,0.0,-0.0
792,3,21,1,1,5,22,0.0,0.0
793,4,21,1,1,5,22,-0.0815926,-0.0646758
794,1,22,1,1,1,21,0.03740813,-0.00176858
795,2,22,1,1,1,21,-0.02831027,0.06590032
796,3,22,1,1,1,21,-0.00019347,0.00171215
797,1,22,1,1,2,21,-0.05440738,0.02214166
798,2,22,1,1,2,21,0.03755303,0.00546593
799,3,22,1,1,2,21,-0.01698381,0.05058068
800,1,22,1,1,3,21,-0.0,0.0
801,2,22,1,1,3,21,-0.05877135,-0.01133426
802,3,22,1,1,3,21,0.02857418,0.01921452
803,1,22,1,1,4,21,0.0,0.0
804,2,22,1,1,4,21,0.0,0.0
805,3,22,1,1,4,21,-0.06045875,-0.04792369
806,1,22,1,1,1,22,-0.0609884,0.11537093
807,2,22,1,1,1,22,-0.00050052,0.00484924
808,3,22,1,1,1,22,-6.7e-07,1.798e-05
809,1,22,1,1,2,22,0.02308923,0.05596858
810,2,22,1,1,2,22,-0.02868274,0.0763948
811,3,22,1,1,2,22,-0.00018345,0.00189829
812,1,22,1,1,3,22,0.07501775,-0.03052927
813,2,22,1,1,3,22,0.02747661,0.11032986
814,3,22,1,1,3,22,-0.01509508,0.05310253
815,1,22,1,1,4,22,0.0,-0.0
816,2,22,1,1,4,22,0.08923062,0.01720843
817,3,22,1,1,4,22,0.02998414,0.1221074
818,1,22,1,1,5,22,-0.0,-0.0
819,2,22,1,1,5,22,-0.0,-0.0
820,3,22,1,1,5,22,0.10163468,0.08056251
821,1,22,1,1,1,23,0.20274119,-0.01969781
822,2,22,1,1,1,23,-0.00725977,0.03291231
823,3,22,1,1,1,23,-4.406e-05,0.00086583
824,1,22,1,1,2,23,-0.05089137,0.02071078
825,2,22,1,1,2,23,0.18186953,-0.03189823
826,3,22,1,1,2,23,-0.00273421,0.01999389
827,1,22,1,1,3,23,-0.0,0.0
828,2,22,1,1,3,23,-0.06634802,-0.01279545
829,3,22,1,1,3,23,0.13669452,-0.03715859
830,1,22,1,1,4,23,0.0,0.0
831,2,22,1,1,4,23,0.0,0.0
832,3,22,1,1,4,23,-0.08323112,-0.06597461
833,1,23,1,1,1,22,0.03946623,0.0038555
834,2,23,1,1,1,22,-0.05519523,0.09322331
835,3,23,1,1,1,22,-0.00054242,0.00457522
836,4,23,1,1,1,22,-9.2e-07,1.894e-05
837,1,23,1,1,2,22,-0.07013384,0.07060897
838,2,23,1,1,2,22,0.05424117,-0.0126704
839,3,23,1,1,2,22,-0.02928114,0.068217
840,4,23,1,1,2,22,-0.0002237,0.00197709
841,1,23,1,1,3,22,0.0,-0.0
842,2,23,1,1,3,22,-0.05741803,0.02336688
843,3,23,1,1,3,22,0.04406887,0.00421367
844,4,23,1,1,3,22,-0.0174401,0.05246453
845,1,23,1,1,4,22,-0.0,0.0
846,2,23,1,1,4,22,-0.0,0.0
847,3,23,1,1,4,22,-0.06217675,-0.011991
848,4,23,1,1,4,22,0.03354705,0.0181222
849,1,23,1,1,5,22,0.0,-0.0
850,2,23,1,1,5,22,0.0,0.0
851,3,23,1,1,5,22,0.0,0.0
852,4,23,1,1,5,22,-0.06461586,-0.0512189
853,1,23,1,1,1,23,0.08812016,-0.08871714
854,2,23,1,1,1,23,0.0108741,0.07168811
855,3,23,1,1,1,23,-0.02939646,0.08009035
856,4,23,1,1,1,23,-0.00020798,0.00216258
857,1,23,1,1,2,23,0.0,-0.0
858,2,23,1,1,2,23,0.07795907,-0.03172627
859,3,23,1,1,2,23,0.0267095,0.11481953
860,4,23,1,1,2,23,-0.01562321,0.05578769
861,1,23,1,1,3,23,-0.0,0.0
862,2,23,1,1,3,23,0.0,-0.0
863,3,23,1,1,3,23,0.09252953,0.01784464
864,4,23,1,1,3,23,0.02893207,0.12764976
865,1,23,1,1,4,23,0.0,-0.0
866,2,23,1,1,4,23,-0.0,-0.0
867,3,23,1,1,4,23,-0.0,-0.0
868,4,23,1,1,4,23,0.10590616,0.08394837
869,1,23,1,1,1,24,0.20687944,-0.00752483
870,2,23,1,1,1,24,-0.01939491,0.05713113
871,3,23,1,1,1,24,-0.00016109,0.00279641
872,4,23,1,1,1,24,-1.3e-07,1.157e-05
873,1,23,1,1,2,24,-0.05338059,0.05374223
874,2,23,1,1,2,24,0.20917696,-0.02728589
875,3,23,1,1,2,24,-0.00695049,0.03359452
876,4,23,1,1,2,24,-4.688e-05,0.00099168
877,1,23,1,1,3,24,-0.0,0.0
878,2,23,1,1,3,24,-0.05210145,0.02120324
879,3,23,1,1,3,24,0.18256615,-0.03225782
880,4,23,1,1,3,24,-0.00249063,0.02057655
881,1,23,1,1,4,24,0.0,0.0
882,2,23,1,1,4,24,-0.0,0.0
883,3,23,1,1,4,24,-0.06750205,-0.013018
884,4,23,1,1,4,24,0.13740655,-0.03759407
885,1,23,1,1,5,24,0.0,0.0
886,2,23,1,1,5,24,0.0,0.0
887,3,23,1,1,5,24,0.0,0.0
888,4,23,1,1,5,24,-0.08468954,-0.06713065
889,1,24,1,1,1,23,0.05047896,-0.00252413
890,2,24,1,1,1,23,-0.02979482,0.07081598
891,3,24,1,1,1,23,-0.00025224,0.0022323
892,1,24,1,1,2,23,-0.05972092,0.02430406
893,2,24,1,1,2,23,0.05043484,0.00292947
894,3,24,1,1,2,23,-0.01784955,0.05430201
895,1,24,1,1,3,23,-0.0,0.0
896,2,24,1,1,3,23,-0.06552157,-0.01263606
897,3,24,1,1,3,23,0.03844866,0.01694782
898,1,24,1,1,4,23,0.0,0.0
899,2,24,1,1,4,23,0.0,0.0
900,3,24,1,1,4,23,-0.06870945,-0.05446375
901,1,24,1,1,1,24,-0.06456826,0.12540254
902,2,24,1,1,1,24,-0.00064496,0.00628533
903,3,24,1,1,1,24,-1.07e-06,2.844e-05
904,1,24,1,1,2,24,0.02443929,0.05862398
905,2,24,1,1,2,24,-0.03053676,0.08343569
906,3,24,1,1,2,24,-0.00023973,0.00249842
907,1,24,1,1,3,24,0.07987718,-0.03250687
908,2,24,1,1,3,24,0.02614352,0.11912646
909,3,24,1,1,3,24,-0.01611869,0.0584691
910,1,24,1,1,4,24,0.0,-0.0
911,2,24,1,1,4,24,0.09566078,0.01844851
912,3,24,1,1,4,24,0.02802963,0.13301348
913,1,24,1,1,5,24,-0.0,-0.0
914,2,24,1,1,5,24,0.0,-0.0
915,3,24,1,1,5,24,0.10996085,0.08716239
916,1,24,1,1,1,25,0.20313885,-0.0192083
917,2,24,1,1,1,25,-0.00643884,0.03446211
918,3,24,1,1,1,25,-4.761e-05,0.00110128
919,1,24,1,1,2,25,-0.05261733,0.02141318
920,2,24,1,1,2,25,0.18291695,-0.0325892
921,3,24,1,1,2,25,-0.00220065,0.02108546
922,1,24,1,1,3,25,-0.0,0.0
923,2,24,1,1,3,25,-0.06852068,-0.01321445
924,3,24,1,1,3,25,0.13784902,-0.03802302
925,1,24,1,1,4,25,0.0,0.0
926,2,24,1,1,4,25,-0.0,0.0
927,3,24,1,1,4,25,-0.08597018,-0.06814577
928,1,25,1,1,1,24,0.05097962,0.00638659
929,2,25,1,1,1,24,-0.05782777,0.09978397
930,3,25,1,1,1,24,-0.00069606,0.00587445
931,4,25,1,1,1,24,-1.46e-06,2.952e-05
932,1,25,1,1,2,24,-0.07549925,0.07601074
933,2,25,1,1,2,24,0.06969221,-0.01628743
934,3,25,1,1,2,24,-0.03070043,0.07291367
935,4,25,1,1,2,24,-0.00028921,0.00255746
936,1,25,1,1,3,24,-0.0,0.0
937,2,25,1,1,3,24,-0.06278298,0.0255502
938,3,25,1,1,3,24,0.05673709,0.00156977
939,4,25,1,1,3,24,-0.01820964,0.05608552
940,1,25,1,1,4,24,0.0,0.0
941,2,25,1,1,4,24,-0.0,0.0
942,3,25,1,1,4,24,-0.06880122,-0.01326855
943,4,25,1,1,4,24,0.04326467,0.0156909
944,1,25,1,1,5,24,0.0,0.0
945,2,25,1,1,5,24,0.0,0.0
946,3,25,1,1,5,24,0.0,-0.0
947,4,25,1,1,5,24,-0.07273207,-0.05765235
948,1,25,1,1,1,25,0.09322184,-0.09385338
949,2,25,1,1,1,25,0.00922698,0.07799988
950,3,25,1,1,1,25,-0.03102989,0.08718389
951,4,25,1,1,1,25,-0.00026739,0.00280299
952,1,25,1,1,2,25,0.0,-0.0
953,2,25,1,1,2,25,0.08276349,-0.03368148
954,3,25,1,1,2,25,0.02563043,0.12332112
955,4,25,1,1,2,25,-0.0165797,0.06115231
956,1,25,1,1,3,25,0.0,0.0
957,2,25,1,1,3,25,0.0,-0.0
958,3,25,1,1,3,25,0.09862221,0.01901963
959,4,25,1,1,3,25,0.02726505,0.13819602
960,1,25,1,1,4,25,-0.0,-0.0
961,2,25,1,1,4,25,-0.0,-0.0
962,3,25,1,1,4,25,-0.0,0.0
963,4,25,1,1,4,25,0.11379588,0.0902023
964,1,25,1,1,1,26,0.20589221,-0.00494055
965,2,25,1,1,1,26,-0.01762747,0.05897107
966,3,25,1,1,1,26,-0.00017402,0.00345861
967,4,25,1,1,1,26,-1.3e-07,1.737e-05
968,1,25,1,1,2,26,-0.05493773,0.05530992
969,2,25,1,1,2,26,0.2099594,-0.02843544
970,3,25,1,1,2,26,-0.00598785,0.03487508
971,4,25,1,1,2,26,-4.896e-05,0.0012497
972,1,25,1,1,3,26,-0.0,0.0
973,2,25,1,1,3,26,-0.05374347,0.02187148
974,3,25,1,1,3,26,0.18298756,-0.03292541
975,4,25,1,1,3,26,-0.00186476,0.02151594
976,1,25,1,1,4,26,0.0,0.0
977,2,25,1,1,4,26,-0.0,0.0
978,3,25,1,1,4,26,-0.06940493,-0.01338498
979,4,25,1,1,4,26,0.13802592,-0.03844643
980,1,25,1,1,5,26,0.0,-0.0
981,2,25,1,1,5,26,0.0,0.0
982,3,25,1,1,5,26,0.0,-0.0
983,4,25,1,1,5,26,-0.08707457,-0.06902118
984,1,26,1,1,1,25,0.06278254,-0.00307142
985,2,26,1,1,1,25,-0.03095237,0.07547095
986,3,26,1,1,1,25,-0.00032104,0.00284692
987,1,26,1,1,2,25,-0.06477073,0.02635914
988,2,26,1,1,2,25,0.06282237,0.00019261
989,3,26,1,1,2,25,-0.01851655,0.0578163
990,1,26,1,1,3,25,-0.0,0.0
991,2,26,1,1,3,25,-0.07200698,-0.0138868
992,3,26,1,1,3,25,0.04798103,0.01435064
993,1,26,1,1,4,25,0.0,-0.0
994,2,26,1,1,4,25,-0.0,-0.0
995,3,26,1,1,4,25,-0.07667611,-0.06077866
996,1,26,1,1,1,26,-0.06763173,0.1353148
997,2,26,1,1,1,26,-0.0008127,0.00797307
998,3,26,1,1,1,26,-1.63e-06,4.345e-05
999,1,26,1,1,2,26,0.02637834,0.0605869
1000,2,26,1,1,2,26,-0.03218075,0.09043297
1001,3,26,1,1,2,26,-0.00030643,0.00321908
1002,1,26,1,1,3,26,0.08416603,-0.03425226
1003,2,26,1,1,3,26,0.02534674,0.12729532
1004,3,26,1,1,3,26,-0.01700608,0.06383034
1005,1,26,1,1,4,26,0.0,-0.0
1006,2,26,1,1,4,26,0.10140546,0.01955639
1007,3,26,1,1,4,26,0.02662858,0.14319377
1008,1,26,1,1,5,26,-0.0,0.0
1009,2,26,1,1,5,26,0.0,-0.0
1010,3,26,1,1,5,26,0.11740754,0.09306515
1011,1,26,1,1,1,27,0.20221407,-0.01852058
1012,2,26,1,1,1,27,-0.00531676,0.03561172
1013,3,26,1,1,1,27,-4.721e-05,0.00136348
1014,1,26,1,1,2,27,-0.05390426,0.02193691
1015,2,26,1,1,2,27,0.18269592,-0.03322262
1016,3,26,1,1,2,27,-0.00148352,0.02187154
1017,1,26,1,1,3,27,-0.0,0.0
1018,2,26,1,1,3,27,-0.07015163,-0.01352898
1019,3,26,1,1,3,27,0.13794034,-0.03886481
1020,1,26,1,1,4,27,0.0,-0.0
1021,2,26,1,1,4,27,-0.0,0.0
1022,3,26,1,1,4,27,-0.08800362,-0.06975761
1023,1,27,1,1,1,26,0.06142745,0.00967814
1024,2,27,1,1,1,26,-0.05974292,0.10582036
1025,3,27,1,1,1,26,-0.00087328,0.00738771
1026,4,27,1,1,1,26,-2.24e-06,4.456e-05
1027,1,27,1,1,2,26,-0.0804065,0.08095122
1028,2,27,1,1,2,26,0.08466322,-0.02014641
1029,3,27,1,1,2,26,-0.03179933,0.07728756
1030,4,27,1,1,2,26,-0.00036608,0.00324505
1031,1,27,1,1,3,26,-0.0,0.0
1032,2,27,1,1,3,26,-0.06792864,0.02764428
1033,3,27,1,1,3,26,0.06885783,-0.00128063
1034,4,27,1,1,3,26,-0.01876815,0.05948163
1035,1,27,1,1,4,26,-0.0,-0.0
1036,2,27,1,1,4,26,-0.0,0.0
1037,3,27,1,1,4,26,-0.07513568,-0.01449018
1038,4,27,1,1,4,26,0.0525842,0.01292604
1039,1,27,1,1,5,26,0.0,0.0
1040,2,27,1,1,5,26,0.0,-0.0
1041,3,27,1,1,5,26,0.0,0.0
1042,4,27,1,1,5,26,-0.08053374,-0.06383648
1043,1,27,1,1,1,27,0.09772863,-0.09839071
1044,2,27,1,1,1,27,0.00772009,0.08426945
1045,3,27,1,1,1,27,-0.03240559,0.09424602
1046,4,27,1,1,1,27,-0.0003364,0.00355915
1047,1,27,1,1,2,27,0.0,-0.0
1048,2,27,1,1,2,27,0.08705481,-0.03542788
1049,3,27,1,1,2,27,0.02504081,0.13118256
1050,4,27,1,1,2,27,-0.01739506,0.0665137
1051,1,27,1,1,3,27,0.0,0.0
1052,2,27,1,1,3,27,0.0,-0.0
1053,3,27,1,1,3,27,0.10401028,0.02005874
1054,4,27,1,1,3,27,0.02611165,0.14800217
1055,1,27,1,1,4,27,-0.0,-0.0
1056,2,27,1,1,4,27,-0.0,0.0
1057,3,27,1,1,4,27,0.0,-0.0
1058,4,27,1,1,4,27,0.1207914,0.09574742
1059,1,27,1,1,1,28,0.2035922,-0.0019757
1060,2,27,1,1,1,28,-0.01529017,0.06017613
1061,3,27,1,1,1,28,-0.00017619,0.00417928
1062,4,27,1,1,1,28,-8e-08,2.518e-05
1063,1,27,1,1,2,28,-0.0559379,0.05631686
1064,2,27,1,1,2,28,0.20937039,-0.02952217
1065,3,27,1,1,2,28,-0.00471986,0.03572546
1066,4,27,1,1,2,28,-4.624e-05,0.00153794
1067,1,27,1,1,3,28,-0.0,0.0
1068,2,27,1,1,3,28,-0.05498103,0.02237511
1069,3,27,1,1,3,28,0.18214665,-0.03353602
