,k1,L1,k2,L2,k3,L3,rho1,rho2
104,1,7,1,1,2,7,0.0,-0.0
105,2,7,1,1,2,7,0.0237628,-0.00967052
106,3,7,1,1,2,7,0.08032087,0.02369692
107,4,7,1,1,2,7,-0.00325606,0.00997926
108,1,7,1,1,3,7,0.0,-0.0
109,2,7,1,1,3,7,0.0,-0.0
110,3,7,1,1,3,7,0.01896248,0.00365698
111,4,7,1,1,3,7,0.09243482,0.01020206
112,1,7,1,1,1,8,0.16546347,-0.01330268
113,2,7,1,1,1,8,-0.01233766,0.02245336
114,3,7,1,1,1,8,-8.4e-06,8.796e-05
115,4,7,1,1,1,8,-0.0,2e-08
116,1,7,1,1,2,8,-0.02426982,0.02443424
117,2,7,1,1,2,8,0.15579242,-0.01710748
118,3,7,1,1,2,8,-0.00377701,0.00978808
119,4,7,1,1,2,8,-1.35e-06,1.517e-05
120,1,7,1,1,3,8,-0.0,0.0
121,2,7,1,1,3,8,-0.02483408,0.01010649
122,3,7,1,1,3,8,0.12491958,-0.02294722
123,4,7,1,1,3,8,-0.00097482,0.00334319
124,1,7,1,1,4,8,0.0,-0.0
125,2,7,1,1,4,8,-0.0,0.0
126,3,7,1,1,4,8,-0.03027594,-0.00583882
127,4,7,1,1,4,8,0.07331084,-0.02243778
128,1,7,1,1,5,8,0.0,0.0
129,2,7,1,1,5,8,0.0,0.0
130,3,7,1,1,5,8,-0.0,0.0
131,4,7,1,1,5,8,-0.02593113,-0.02055476
132,1,8,1,1,1,7,-0.06440537,0.00722922
133,2,8,1,1,1,7,-0.01211514,0.02699684
134,3,8,1,1,1,7,-6.86e-06,6.38e-05
135,1,8,1,1,2,7,-0.01332316,0.005422
136,2,8,1,1,2,7,-0.05145306,0.01675487
137,3,8,1,1,2,7,-0.00672108,0.01919252
138,1,8,1,1,3,7,-0.0,0.0
139,2,8,1,1,3,7,-0.00792442,-0.00152825
140,3,8,1,1,3,7,-0.0301518,0.02067999
141,1,8,1,1,1,8,-0.02552923,0.04327173
142,2,8,1,1,1,8,-2.392e-05,0.00022625
143,3,8,1,1,1,8,-0.0,7e-08
144,1,8,1,1,2,8,0.03980599,0.02147107
145,2,8,1,1,2,8,-0.01075046,0.02553133
146,3,8,1,1,2,8,-5.97e-06,5.997e-05
147,1,8,1,1,3,8,0.02801287,-0.01140013
148,2,8,1,1,3,8,0.07059528,0.03125114
149,3,8,1,1,3,8,-0.00436897,0.01345298
150,1,8,1,1,4,8,0.0,-0.0
151,2,8,1,1,4,8,0.0254548,0.00490905
152,3,8,1,1,4,8,0.08118598,0.02089874
153,1,8,1,1,5,8,-0.0,-0.0
154,2,8,1,1,5,8,0.0,-0.0
155,3,8,1,1,5,8,0.01427091,0.01131209
156,1,8,1,1,1,9,0.16149953,-0.01736208
157,2,8,1,1,1,9,-0.00450363,0.01189647
158,3,8,1,1,1,9,-2.46e-06,2.824e-05
159,1,8,1,1,2,9,-0.02734601,0.01112875
160,2,8,1,1,2,9,0.13333574,-0.02417458
161,3,8,1,1,2,9,-0.00137297,0.00481977
162,1,8,1,1,3,9,-0.0,0.0
163,2,8,1,1,3,9,-0.03446481,-0.00664666
164,3,8,1,1,3,9,0.08524017,-0.02553068
165,1,8,1,1,4,9,0.0,0.0
166,2,8,1,1,4,9,-0.0,0.0
167,3,8,1,1,4,9,-0.03563695,-0.02824825
168,1,9,1,1,1,8,-0.06097843,0.00254794
169,2,9,1,1,1,8,-0.02452048,0.03931239
170,3,9,1,1,1,8,-3.04e-05,0.00026713
171,4,9,1,1,1,8,-1e-08,1.2e-07
172,1,9,1,1,2,8,-0.02588051,0.02605584
173,2,9,1,1,2,8,-0.05663255,0.00589797
174,3,9,1,1,2,8,-0.01349663,0.03000837
175,4,9,1,1,2,8,-1.067e-05,9.862e-05
176,1,9,1,1,3,8,-0.0,0.0
177,2,9,1,1,3,8,-0.01636507,0.00665994
178,3,9,1,1,3,8,-0.04684142,0.01660514
179,4,9,1,1,3,8,-0.00775011,0.02207227
180,1,9,1,1,4,8,-0.0,-0.0
181,2,9,1,1,4,8,-0.0,0.0
182,3,9,1,1,4,8,-0.0115587,-0.00222913
