,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3,rho4
350,2,12,1,1,2,13,-0.1158906,0.0266042,0.02135971,0.00551244
351,3,12,1,1,2,13,0.00053379,-0.00440659,-0.00673425,0.0158916
352,1,12,1,1,3,13,-0.0,-0.00162083,-0.00050337,0.00043331
353,2,12,1,1,3,13,0.03585875,0.00537775,0.01449098,0.03297856
354,3,12,1,1,3,13,-0.08390468,0.0375926,0.09368758,-0.03322709
355,1,12,1,1,4,13,0.0,-0.0,0.0,-0.0
356,2,12,1,1,4,13,0.0,-0.00139838,-0.00153903,-0.00040537
357,3,12,1,1,4,13,0.04779652,0.02441005,-0.02790142,-0.01697174
358,1,13,1,1,1,12,-0.00513064,0.00224479,-8.458e-05,0.00105478
359,2,13,1,1,1,12,0.03162485,-0.05503032,0.00115143,-0.03878215
360,3,13,1,1,1,12,2.805e-05,-0.00214773,0.00204548,0.00022834
361,4,13,1,1,1,12,-4e-08,-3.18e-06,2.331e-05,-3.07e-06
362,1,13,1,1,2,12,0.03831228,-0.03817171,0.01520544,-0.02945128
363,2,13,1,1,2,12,-0.00759568,0.00205965,0.00024107,-0.0035887
364,3,13,1,1,2,12,0.01614866,-0.04224098,-0.00932458,0.00265288
365,4,13,1,1,2,12,9.56e-06,-0.00084728,0.00106001,0.00067548
366,1,13,1,1,3,12,0.0,-0.00180869,0.00086717,0.00065803
367,2,13,1,1,3,12,0.02946017,-0.01093909,0.0137863,0.00598103
368,3,13,1,1,3,12,-0.005548,-0.00416089,-0.00050528,-0.01044515
369,4,13,1,1,3,12,0.00907504,-0.03325758,-0.01261013,0.04685346
370,1,13,1,1,4,12,-0.0,0.0,-0.0,0.0
371,2,13,1,1,4,12,-0.0,-0.00106512,-0.00033079,0.00028475
372,3,13,1,1,4,12,0.02876406,0.00439406,0.00620825,0.01907097
373,4,13,1,1,4,12,-0.0036008,-0.01062901,0.00286365,0.01791657
374,1,13,1,1,5,12,0.0,-0.0,0.0,0.0
375,2,13,1,1,5,12,0.0,-0.0,0.0,-0.0
376,3,13,1,1,5,12,0.0,-0.00062709,-0.00069016,-0.00018178
377,4,13,1,1,5,12,0.02462018,0.01468057,-0.00999474,-0.00667943
378,1,13,1,1,1,13,-0.04786717,0.04716045,-0.02061711,0.03993906
379,2,13,1,1,1,13,-0.01468886,-0.01686375,-0.01144865,-0.05966817
380,3,13,1,1,1,13,0.01342341,-0.03773944,-0.01103665,0.00296427
381,4,13,1,1,1,13,-2.37e-06,-0.0008026,0.00105709,0.00071042
382,1,13,1,1,2,13,0.0,0.00300297,-0.00143977,-0.00109253
383,2,13,1,1,2,13,-0.04400752,0.01593576,-0.02213968,-0.00958313
384,3,13,1,1,2,13,-0.0277333,-0.02646171,0.00556959,-0.04245199
385,4,13,1,1,2,13,0.00603561,-0.02457499,-0.01199459,0.04241658
386,1,13,1,1,3,13,0.0,0.0,0.0,-0.0
387,2,13,1,1,3,13,0.0,0.00212038,0.00065852,-0.00056686
388,3,13,1,1,3,13,-0.05228247,-0.00839188,-0.01183651,-0.03625074
389,4,13,1,1,3,13,-0.0320223,-0.02078149,0.0477755,0.0510171
390,1,13,1,1,4,13,-0.0,0.0,-0.0,-0.0
391,2,13,1,1,4,13,-0.0,0.0,-0.0,0.0
392,3,13,1,1,4,13,-0.0,0.00155342,0.00170966,0.00045031
393,4,13,1,1,4,13,-0.05641884,-0.03424912,0.02324799,0.01584478
394,1,13,1,1,1,14,-0.13747785,0.00515126,-0.08278809,0.0106793
395,2,13,1,1,1,14,0.00831014,-0.01698828,-0.00462221,-0.02682772
396,3,13,1,1,1,14,-4.227e-05,-0.00114989,0.0011998,0.00020121
397,4,13,1,1,1,14,-9e-08,-1.48e-06,1.497e-05,-1.96e-06
398,1,13,1,1,2,14,0.02189313,-0.01700879,0.01633687,-0.02886925
399,2,13,1,1,2,14,-0.13341698,0.01145847,-0.05206679,0.01544888
400,3,13,1,1,2,14,0.00213301,-0.00861019,-0.00914542,0.00217812
401,4,13,1,1,2,14,-1.452e-05,-0.00031539,0.0004457,0.00036751
402,1,13,1,1,3,14,-0.0,-0.00241914,0.00115985,0.00088012
403,2,13,1,1,3,14,0.02463029,-0.00644618,0.02279378,0.00720277
404,3,13,1,1,3,14,-0.11619877,0.02654404,0.02185961,0.00554427
405,4,13,1,1,3,14,0.00035987,-0.00429342,-0.00767951,0.01776769
406,1,13,1,1,4,14,-0.0,0.0,-0.0,0.0
407,2,13,1,1,4,14,-0.0,-0.00201357,-0.00062534,0.0005383
408,3,13,1,1,4,14,0.03596361,0.00545727,0.01556449,0.03452161
409,4,13,1,1,4,14,-0.08505762,0.03827535,0.09654085,-0.03403616
410,1,13,1,1,5,14,0.0,-0.0,-0.0,0.0
411,2,13,1,1,5,14,0.0,-0.0,0.0,-0.0
412,3,13,1,1,5,14,0.0,-0.00178718,-0.00196693,-0.00051808
413,4,13,1,1,5,14,0.04870262,0.02434655,-0.02969503,-0.01792953
414,1,14,1,1,1,13,-0.01342219,0.00376962,-0.00520943,-0.0043814
415,2,14,1,1,1,13,0.01698539,-0.04489095,-0.00963316,0.0027929
416,3,14,1,1,1,13,1.224e-05,-0.00106562,0.00134072,0.00084458
417,1,14,1,1,2,13,0.03218775,-0.01202118,0.01519165,0.00660366
418,2,14,1,1,2,13,-0.01242766,-0.00264821,0.00052505,-0.01049045
419,3,14,1,1,2,13,0.0095775,-0.03537916,-0.01308712,0.04981647
420,1,14,1,1,3,13,-0.0,-0.00141058,-0.00043808,0.0003771
421,2,14,1,1,3,13,0.03244678,0.00500674,0.00708543,0.0216462
422,3,14,1,1,3,13,-0.0086687,-0.00893936,0.00790084,0.01700441
423,1,14,1,1,4,13,0.0,-0.0,0.0,0.0
424,2,14,1,1,4,13,0.0,-0.0008899,-0.00097941,-0.00025797
425,3,14,1,1,4,13,0.02931606,0.01748215,-0.01197123,-0.00800364
426,1,14,1,1,1,14,0.03384623,-0.06218564,-0.00073061,-0.05215338
427,2,14,1,1,1,14,-4e-07,-0.0029996,0.00299954,0.00035321
428,3,14,1,1,1,14,-1.3e-07,-5.03e-06,4.066e-05,-5.72e-06
429,1,14,1,1,2,14,-0.01565831,-0.01927271,-0.00750675,-0.06142615
430,2,14,1,1,2,14,0.01420485,-0.04020547,-0.01169303,0.00304884
431,3,14,1,1,2,14,-3.37e-06,-0.00101667,0.00134843,0.00089917
432,1,14,1,1,3,14,-0.04661058,0.01705589,-0.0233776,-0.01027056
433,2,14,1,1,3,14,-0.02486594,-0.02890631,0.00499143,-0.04559999
434,3,14,1,1,3,14,0.00646091,-0.02666381,-0.0126616,0.04628702
435,1,14,1,1,4,14,0.0,0.0026842,0.00083362,-0.00071759
436,2,14,1,1,4,14,-0.05626295,-0.00919779,-0.01265909,-0.03909809
437,3,14,1,1,4,14,-0.02859758,-0.0244184,0.04528238,0.0569369
438,1,14,1,1,5,14,-0.0,0.0,-0.0,-0.0
439,2,14,1,1,5,14,-0.0,0.00205157,0.00225791,0.00059472
440,3,14,1,1,5,14,-0.06245081,-0.03819654,0.02560133,0.01758454
441,1,14,1,1,1,15,-0.1314494,0.01271888,-0.05495952,0.01421578
442,2,14,1,1,1,15,0.00171985,-0.00813757,-0.01004939,0.00241396
443,3,14,1,1,1,15,-2.018e-05,-0.00038761,0.00055883,0.00046551
444,1,14,1,1,2,15,0.0242057,-0.00604769,0.02416415,0.00748148
445,2,14,1,1,2,15,-0.11577611,0.02632156,0.02227883,0.00559491
446,3,14,1,1,2,15,0.00012604,-0.00398928,-0.0086224,0.01953813
447,1,14,1,1,3,15,-0.0,-0.00245189,-0.00076147,0.00065548
448,2,14,1,1,3,15,0.03566093,0.00548686,0.01662008,0.03589923
449,3,14,1,1,3,15,-0.08546777,0.03869015,0.09875689,-0.03468605
450,1,14,1,1,4,15,0.0,-0.0,-0.0,0.0
451,2,14,1,1,4,15,0.0,-0.0022247,-0.00244846,-0.00064491
452,3,14,1,1,4,15,0.04894252,0.02386318,-0.03130017,-0.01875341
453,1,15,1,1,1,14,-0.0201868,0.00229878,-0.00831764,0.00154809
454,2,15,1,1,1,14,0.03504641,-0.06186371,0.00124125,-0.04390873
455,3,15,1,1,1,14,4.349e-05,-0.00327787,0.00314845,0.00033699
456,4,15,1,1,1,14,-8e-08,-6.79e-06,4.941e-05,-6.76e-06
457,1,15,1,1,2,14,0.04367469,-0.04365524,0.01740433,-0.03401047
458,2,15,1,1,2,14,-0.02349653,0.00381454,-0.00463878,-0.0016599
459,3,15,1,1,2,14,0.01776463,-0.04713558,-0.01012388,0.00285356
460,4,15,1,1,2,14,1.529e-05,-0.00131726,0.00166294,0.00103909
461,1,15,1,1,3,14,0.0,-0.00288865,0.00138496,0.00105094
462,2,15,1,1,3,14,0.03482035,-0.01279364,0.01647418,0.00712626
463,3,15,1,1,3,14,-0.01916274,-0.00112951,0.00155311,-0.01047546
464,4,15,1,1,3,14,0.01001561,-0.03734669,-0.01348672,0.05264683
465,1,15,1,1,4,14,-0.0,-0.0,-0.0,0.0
466,2,15,1,1,4,14,-0.0,-0.00182194,-0.00056583,0.00048708
467,3,15,1,1,4,14,0.03596701,0.00561133,0.00796691,0.02417509
468,4,15,1,1,4,14,-0.01370825,-0.0071441,0.01297135,0.01594921
469,1,15,1,1,5,14,0.0,0.0,0.0,-0.0
470,2,15,1,1,5,14,0.0,-0.0,0.0,0.0
471,3,15,1,1,5,14,0.0,-0.00121044,-0.00133218,-0.00035089
472,4,15,1,1,5,14,0.03386624,0.02019268,-0.01392981,-0.00931538
473,1,15,1,1,1,15,-0.05262672,0.05247523,-0.02241977,0.04418266
474,2,15,1,1,1,15,-0.01140855,-0.01862417,-0.01210453,-0.06790421
475,3,15,1,1,1,15,0.01486125,-0.04286662,-0.01197799,0.00320621
476,4,15,1,1,1,15,-4.68e-06,-0.0012584,0.00168838,0.00111071
477,1,15,1,1,2,15,-0.0,0.00454688,-0.00217999,-0.00165423
478,2,15,1,1,2,15,-0.04905712,0.01770701,-0.02430065,-0.01078523
479,3,15,1,1,2,15,-0.02235797,-0.0310823,0.00443327,-0.04861093
480,4,15,1,1,2,15,0.00683868,-0.02863962,-0.01319215,0.05002847
481,1,15,1,1,3,15,0.0,0.0,0.0,-0.0
482,2,15,1,1,3,15,0.0,0.0033341,0.00103545,-0.00089133
483,3,15,1,1,3,15,-0.05990152,-0.00998861,-0.01338242,-0.04172662
484,4,15,1,1,3,15,-0.02558844,-0.02766382,0.04314594,0.06250188
485,1,15,1,1,4,15,-0.0,-0.0,-0.0,0.0
486,2,15,1,1,4,15,-0.0,0.0,-0.0,-0.0
487,3,15,1,1,4,15,-0.0,0.00262958,0.00289405,0.00076228
488,4,15,1,1,4,15,-0.06795594,-0.04190812,0.0276969,0.01918848
489,1,15,1,1,1,16,-0.13417993,0.00363117,-0.08349847,0.01008402
490,2,15,1,1,1,16,0.00644442,-0.01461404,-0.00613113,-0.02959722
491,3,15,1,1,1,16,-7.679e-05,-0.00162699,0.0017461,0.00030234
492,4,15,1,1,1,16,-2.1e-07,-2.84e-06,3.051e-05,-4.16e-06
493,1,15,1,1,2,16,0.02062922,-0.01462946,0.01794357,-0.03148872
494,2,15,1,1,2,16,-0.13076286,0.00977179,-0.05203059,0.01623032
495,3,15,1,1,2,16,0.00122132,-0.00720149,-0.01113754,0.00258021
496,4,15,1,1,2,16,-2.738e-05,-0.00046611,0.00068271,0.00057911
497,1,15,1,1,3,16,0.0,-0.00349217,0.00167431,0.00127051
498,2,15,1,1,3,16,0.02354139,-0.00520697,0.02537871,0.00761964
499,3,15,1,1,3,16,-0.1146639,0.02593416,0.02262639,0.00567026
500,4,15,1,1,3,16,-0.00016546,-0.00349411,-0.00956355,0.02119891
501,1,15,1,1,4,16,-0.0,0.0,-0.0,0.0
502,2,15,1,1,4,16,-0.0,-0.00294288,-0.00091395,0.00078674
503,3,15,1,1,4,16,0.03496663,0.00546905,0.01765973,0.03712067
504,4,15,1,1,4,16,-0.08521162,0.03886695,0.10040714,-0.03520759
505,1,15,1,1,5,16,0.0,0.0,0.0,-0.0
506,2,15,1,1,5,16,0.0,0.0,-0.0,0.0
507,3,15,1,1,5,16,0.0,-0.00271153,-0.00298425,-0.00078603
508,4,15,1,1,5,16,0.04857912,0.02299739,-0.03274286,-0.01946074
509,1,16,1,1,1,15,-0.027857,0.00586339,-0.01137341,-0.00317014
510,2,16,1,1,1,15,0.0183897,-0.0495393,-0.01029016,0.00300116
511,3,16,1,1,1,15,1.856e-05,-0.00159803,0.00203307,0.00125368
512,1,16,1,1,2,15,0.03721802,-0.01382895,0.01787512,0.00774986
513,2,16,1,1,2,15,-0.02569129,0.00039269,0.00256852,-0.01040386
514,3,16,1,1,2,15,0.01038622,-0.03915383,-0.0138125,0.05535039
515,1,16,1,1,3,15,-0.0,-0.00229773,-0.00071359,0.00061427
516,2,16,1,1,3,15,0.03929964,0.00620525,0.00885295,0.02664983
517,3,16,1,1,3,15,-0.01864936,-0.0052743,0.01801617,0.01477717
518,1,16,1,1,4,15,0.0,0.0,0.0,0.0
519,2,16,1,1,4,15,0.0,-0.00159329,-0.00175354,-0.00046187
520,3,16,1,1,4,15,0.03823004,0.02278618,-0.0158612,-0.01060789
521,1,16,1,1,1,16,0.03664278,-0.06898945,-0.00082719,-0.05889312
522,2,16,1,1,1,16,-4.21e-06,-0.00439357,0.00447003,0.00049881
523,3,16,1,1,1,16,-2.6e-07,-9.98e-06,8.106e-05,-1.202e-05
524,1,16,1,1,2,16,-0.013839,-0.0214405,-0.00647755,-0.068258
525,2,16,1,1,2,16,0.01550081,-0.04494292,-0.01258292,0.00319805
526,3,16,1,1,2,16,-6.35e-06,-0.00153581,0.00207528,0.00135448
527,1,16,1,1,3,16,-0.05116889,0.01881769,-0.02529302,-0.01144943
528,2,16,1,1,3,16,-0.02015638,-0.03301344,0.00389069,-0.0514765
529,3,16,1,1,3,16,0.00716896,-0.03050333,-0.01358501,0.05364638
530,1,16,1,1,4,16,0.0,0.00406219,0.00126157,-0.00108598
531,2,16,1,1,4,16,-0.06320064,-0.01076584,-0.01400487,-0.04413773
532,3,16,1,1,4,16,-0.02292782,-0.0305422,0.04129452,0.06773377
533,1,16,1,1,5,16,-0.0,0.0,-0.0,-0.0
534,2,16,1,1,5,16,-0.0,0.00329072,0.00362169,0.00095393
535,3,16,1,1,5,16,-0.07295778,-0.04540178,0.02954178,0.02066315
536,1,16,1,1,1,17,-0.12732952,0.0118711,-0.05564382,0.01434422
537,2,16,1,1,1,17,0.0006036,-0.00629369,-0.01201358,0.00283925
538,3,16,1,1,1,17,-3.617e-05,-0.00054603,0.00082036,0.00070273
539,1,16,1,1,2,17,0.02255588,-0.00467404,0.02671416,0.0078696
540,2,16,1,1,2,17,-0.11289272,0.02540024,0.02290224,0.00576759
541,3,16,1,1,2,17,-0.00051176,-0.00280943,-0.01050409,0.02274692
542,1,16,1,1,3,17,-0.0,-0.00347693,-0.00107981,0.00092952
543,2,16,1,1,3,17,0.03389337,0.00540544,0.01868381,0.03819206
544,3,16,1,1,3,17,-0.0843456,0.0388252,0.10154148,-0.03562204
545,1,16,1,1,4,17,0.0,0.0,0.0,0.0
546,2,16,1,1,4,17,0.0,-0.00324791,-0.00357458,-0.00094153
547,3,16,1,1,4,17,0.04765715,0.02177672,-0.03404001,-0.02006319
548,1,17,1,1,1,16,-0.03384191,0.00177591,-0.01610679,0.00167956
549,2,17,1,1,1,16,0.03767918,-0.06775728,0.0012264,-0.04873367
550,3,17,1,1,1,16,6.181e-05,-0.00471906,0.00458156,0.00046803
551,4,17,1,1,1,16,-1.5e-07,-1.307e-05,9.46e-05,-1.35e-05
552,1,17,1,1,2,16,0.04825282,-0.04838397,0.01944458,-0.03831459
553,2,17,1,1,2,16,-0.03840505,0.00529871,-0.00906589,0.00052147
554,3,17,1,1,2,16,0.01897304,-0.05126949,-0.01084596,0.00300446
555,4,17,1,1,2,16,2.214e-05,-0.00191765,0.00244797,0.00149889
556,1,17,1,1,3,16,-0.0,-0.00431566,0.00206914,0.00157011
557,2,17,1,1,3,16,0.03953091,-0.01429697,0.01904954,0.00818595
558,3,17,1,1,3,16,-0.03196633,0.00188856,0.00357326,-0.01026875
559,4,17,1,1,3,16,0.01068576,-0.0407913,-0.01406724,0.05792849
560,1,17,1,1,4,16,-0.0,-0.0,-0.0,0.0
561,2,17,1,1,4,16,-0.0,-0.00285244,-0.00088587,0.00076257
562,3,17,1,1,4,16,0.0424203,0.00678647,0.00974377,0.02906263
563,4,17,1,1,4,16,-0.0234352,-0.0033538,0.0229889,0.01350659
564,1,17,1,1,5,16,0.0,0.0,0.0,-0.0
565,2,17,1,1,5,16,0.0,-0.0,0.0,-0.0
566,3,17,1,1,5,16,0.0,-0.00204288,-0.00224835,-0.0005922
567,4,17,1,1,5,16,0.04237093,0.02523939,-0.01775745,-0.01187536
568,1,17,1,1,1,17,-0.05643588,0.05713846,-0.0237428,0.04771861
569,2,17,1,1,1,17,-0.00874298,-0.01979653,-0.01333451,-0.07553184
570,3,17,1,1,1,17,0.01597073,-0.04749624,-0.01254453,0.00335107
571,4,17,1,1,1,17,-8.48e-06,-0.00183877,0.00252042,0.00161698
572,1,17,1,1,2,17,-0.0,0.00650006,-0.00311644,-0.00236482
573,2,17,1,1,2,17,-0.05317379,0.01910383,-0.02580818,-0.01181656
574,3,17,1,1,2,17,-0.01820965,-0.0346756,0.00334361,-0.05420277
575,4,17,1,1,2,17,0.00745146,-0.03225475,-0.01383849,0.05714359
576,1,17,1,1,3,17,0.0,0.0,0.0,-0.0
577,2,17,1,1,3,17,0.0,0.00488931,0.00151845,-0.0013071
578,3,17,1,1,3,17,-0.06615999,-0.01153126,-0.01452427,-0.04633046
579,4,17,1,1,3,17,-0.02056398,-0.03307066,0.03967157,0.07264666
580,1,17,1,1,4,17,-0.0,-0.0,-0.0,0.0
581,2,17,1,1,4,17,-0.0,0.0,-0.0,0.0
582,3,17,1,1,4,17,-0.0,0.00403786,0.00444398,0.00117052
583,4,17,1,1,4,17,-0.07747128,-0.04869033,0.03113936,0.0220126
584,1,17,1,1,1,18,-0.1284245,0.00193113,-0.08311481,0.00913221
585,2,17,1,1,1,18,0.00376708,-0.01082174,-0.00782239,-0.03187225
586,3,17,1,1,1,18,-0.00012873,-0.00214869,0.00238541,0.00042743
587,4,17,1,1,1,18,-4.3e-07,-4.85e-06,5.587e-05,-7.99e-06
588,1,17,1,1,2,18,0.01821405,-0.01105178,0.01935296,-0.03367697
589,2,17,1,1,2,18,-0.1254357,0.00744561,-0.0510721,0.0170273
590,3,17,1,1,2,18,-8.013e-05,-0.00475749,-0.01321159,0.00297016
591,4,17,1,1,2,18,-4.707e-05,-0.00063073,0.00096443,0.00084522
592,1,17,1,1,3,18,0.0,-0.0047941,0.00229852,0.00174417
593,2,17,1,1,3,18,0.02135826,-0.00343838,0.02779323,0.00789092
594,3,17,1,1,3,18,-0.11049331,0.02469989,0.02311713,0.00589525
595,4,17,1,1,3,18,-0.00090935,-0.00193757,-0.01144564,0.02417928
596,1,17,1,1,4,18,-0.0,-0.0,-0.0,0.0
597,2,17,1,1,4,18,-0.0,-0.00406955,-0.00126386,0.00108795
598,3,17,1,1,4,18,0.03245228,0.00529804,0.01969182,0.03911736
599,4,17,1,1,4,18,-0.08291385,0.03857746,0.10219621,-0.03594436
600,1,17,1,1,5,18,0.0,0.0,0.0,-0.0
601,2,17,1,1,5,18,0.0,-0.0,0.0,-0.0
602,3,17,1,1,5,18,0.0,-0.00383381,-0.0042194,-0.00111137
603,4,17,1,1,5,18,0.04621053,0.02022294,-0.03520276,-0.02056889
604,1,18,1,1,1,17,-0.04092235,0.00783912,-0.01745499,-0.0019237
605,2,18,1,1,1,17,0.01934438,-0.05342194,-0.0108175,0.00317958
606,3,18,1,1,1,17,2.568e-05,-0.00226325,0.00291922,0.00175966
607,1,18,1,1,2,17,0.04151011,-0.01532355,0.02046825,0.00882799
608,2,18,1,1,2,17,-0.03793265,0.00337452,0.0045523,-0.01007846
609,3,18,1,1,2,17,0.01091054,-0.04224917,-0.0142532,0.06038023
610,1,18,1,1,3,17,-0.0,-0.0034743,-0.001079,0.00092881
611,2,18,1,1,3,17,0.04530511,0.00735213,0.01063909,0.03140586
612,3,18,1,1,3,17,-0.02801766,-0.00140208,0.02785127,0.0121508
613,1,18,1,1,4,17,0.0,0.0,0.0,-0.0
614,2,18,1,1,4,17,0.0,-0.00256346,-0.00282129,-0.00074311
615,3,18,1,1,4,17,0.04625527,0.02753096,-0.01961133,-0.0131126
616,1,18,1,1,1,18,0.03873235,-0.07509312,-0.00088726,-0.06537648
617,2,18,1,1,1,18,-1.176e-05,-0.00611475,0.00634669,0.00066308
618,3,18,1,1,1,18,-4.9e-07,-1.815e-05,0.00014801,-2.328e-05
619,1,18,1,1,2,18,-0.01273086,-0.02319836,-0.00547155,-0.0741949
620,2,18,1,1,2,18,0.01646977,-0.04907989,-0.01316815,0.00322166
621,3,18,1,1,2,18,-1.113e-05,-0.00218488,0.00301499,0.0019201
622,1,18,1,1,3,18,-0.05475299,0.02029771,-0.02657263,-0.01248782
623,2,18,1,1,3,18,-0.01649322,-0.03611249,0.00280159,-0.05677022
624,3,18,1,1,3,18,0.0076858,-0.03389115,-0.01395099,0.06051972
625,1,18,1,1,4,18,0.0,0.00579028,0.00179826,-0.00154796
626,2,18,1,1,4,18,-0.06877737,-0.01228463,-0.01493737,-0.04830266
627,3,18,1,1,4,18,-0.01845627,-0.03526126,0.03823141,0.0772491
628,1,18,1,1,5,18,-0.0,0.0,0.0,0.0
629,2,18,1,1,5,18,-0.0,0.00487348,0.00536364,0.00141275
630,3,18,1,1,5,18,-0.08150567,-0.05178306,0.0324905,0.02323914
631,1,18,1,1,1,19,-0.12073234,0.01079368,-0.05565667,0.01436671
632,2,18,1,1,1,19,-0.0008797,-0.00347262,-0.01402911,0.00326814
633,3,18,1,1,1,19,-5.983e-05,-0.00071067,0.00112289,0.00099282
634,1,18,1,1,2,19,0.01982429,-0.00285095,0.02910692,0.00813557
635,2,18,1,1,2,19,-0.10748862,0.02386835,0.02326352,0.00604291
636,3,18,1,1,2,19,-0.00135412,-0.00088285,-0.01239024,0.0254942
637,1,18,1,1,3,19,-0.0,-0.00469726,-0.0014588,0.00125576
638,2,18,1,1,3,19,0.03065382,0.00514744,0.02068196,0.03989943
639,3,18,1,1,3,19,-0.08095303,0.03813173,0.10239886,-0.03618528
640,1,18,1,1,4,19,0.0,0.0,-0.0,-0.0
641,2,18,1,1,4,19,0.0,-0.00446881,-0.00491827,-0.00129545
642,3,18,1,1,4,19,0.04426673,0.01835459,-0.03623849,-0.02098367
643,1,19,1,1,1,18,-0.04579505,0.00063821,-0.02333919,0.00140448
644,2,19,1,1,1,18,0.03937382,-0.07250427,0.00109375,-0.05318093
645,3,19,1,1,1,18,8.135e-05,-0.0064861,0.00638014,0.0006185
646,4,19,1,1,1,18,-2.5e-07,-2.327e-05,0.00016779,-2.508e-05
647,1,19,1,1,2,18,0.05186838,-0.05218998,0.02131017,-0.0422971
648,2,19,1,1,2,18,-0.05195119,0.00641575,-0.01291855,0.00295988
649,3,19,1,1,2,18,0.01970933,-0.05448139,-0.01152021,0.00310391
650,4,19,1,1,2,18,2.944e-05,-0.00265581,0.00343548,0.00205987
651,1,19,1,1,3,18,-0.0,-0.00612842,0.00293826,0.00222962
652,2,19,1,1,3,18,0.04344438,-0.01536306,0.02148789,0.00913853
653,3,19,1,1,3,18,-0.04355826,0.00479726,0.00551856,-0.00981709
654,4,19,1,1,3,18,0.011057,-0.04351518,-0.0143728,0.0627018
655,1,19,1,1,4,18,-0.0,-0.0,-0.0,0.0
656,2,19,1,1,4,18,-0.0,-0.00419209,-0.00130192,0.00112071
657,3,19,1,1,4,18,0.04793092,0.00790099,0.01153881,0.03367151
658,4,19,1,1,4,18,-0.03235475,0.00056399,0.03257037,0.01071999
659,1,19,1,1,5,18,0.0,0.0,0.0,-0.0
660,2,19,1,1,5,18,0.0,-0.0,-0.0,0.0
661,3,19,1,1,5,18,0.0,-0.00315908,-0.00347681,-0.00091577
662,4,19,1,1,5,18,0.04985143,0.02964105,-0.02141597,-0.01431475
663,1,19,1,1,1,19,-0.05921773,0.06112514,-0.02456439,0.05047617
664,2,19,1,1,1,19,-0.00652121,-0.02035499,-0.01509246,-0.08249537
665,3,19,1,1,1,19,0.01673267,-0.05159542,-0.01270706,0.00339704
666,4,19,1,1,1,19,-1.442e-05,-0.00254913,0.00358054,0.00223097
667,1,19,1,1,2,19,0.0,0.00888486,-0.00425983,-0.00323245
668,2,19,1,1,2,19,-0.05630895,0.02009712,-0.02660303,-0.0126629
669,3,19,1,1,2,19,-0.01496316,-0.03726145,0.00223304,-0.05919579
670,4,19,1,1,2,19,0.00787141,-0.03541083,-0.01392074,0.06377403
671,1,19,1,1,3,19,0.0,0.0,0.0,-0.0
672,2,19,1,1,3,19,0.0,0.0068086,0.00211451,-0.0018202
673,3,19,1,1,3,19,-0.0710498,-0.01302803,-0.01524145,-0.05005068
674,4,19,1,1,3,19,-0.01657213,-0.0371225,0.03693625,0.08154557
675,1,19,1,1,4,19,-0.0,-0.0,-0.0,0.0
676,2,19,1,1,4,19,-0.0,0.0,0.0,-0.0
677,3,19,1,1,4,19,-0.0,0.00579956,0.00638287,0.00168121
678,4,19,1,1,4,19,-0.08506631,-0.05468686,0.0335944,0.02434392
679,1,19,1,1,1,20,-0.12039055,0.00019617,-0.08165229,0.0078313
680,2,19,1,1,1,20,0.0003755,-0.00568841,-0.00966438,-0.0336292
681,3,19,1,1,1,20,-0.00020261,-0.0026774,0.00309688,0.00057594
682,4,19,1,1,1,20,-8e-07,-7.49e-06,9.434e-05,-1.426e-05
683,1,19,1,1,2,20,0.01467487,-0.00634208,0.02056081,-0.03540503
684,2,19,1,1,2,20,-0.11752999,0.00445415,-0.04919783,0.01783595
685,3,19,1,1,2,20,-0.00172244,-0.00131032,-0.0153761,0.00334649
686,4,19,1,1,2,20,-7.55e-05,-0.00079428,0.00127972,0.00116536
687,1,19,1,1,3,20,0.0,-0.00632285,0.00303148,0.00230035
688,2,19,1,1,3,20,0.01811172,-0.00115316,0.0300113,0.0080148
689,3,19,1,1,3,20,-0.10390865,0.02285655,0.02335958,0.00622645
690,4,19,1,1,3,20,-0.00184134,0.00035042,-0.01334027,0.02668917
691,1,19,1,1,4,20,-0.0,0.0,-0.0,0.0
692,2,19,1,1,4,20,-0.0,-0.00539329,-0.00167497,0.00144183
693,3,19,1,1,4,20,0.02850872,0.00495628,0.02165248,0.04053984
694,4,19,1,1,4,20,-0.07849532,0.0374928,0.10217126,-0.03635252
695,1,19,1,1,5,20,0.0,0.0,0.0,-0.0
696,2,19,1,1,5,20,0.0,0.0,-0.0,-0.0
697,3,19,1,1,5,20,0.0,-0.00515217,-0.00567036,-0.00149354
698,4,19,1,1,5,20,0.0418495,0.01618843,-0.03715202,-0.02131182
699,1,20,1,1,1,19,-0.05229803,0.00966627,-0.02338506,-0.00065261
700,2,20,1,1,1,19,0.01978648,-0.05640745,-0.0112191,0.003335
701,3,20,1,1,1,19,3.269e-05,-0.00306494,0.00401922,0.00236432
702,1,20,1,1,2,19,0.04491412,-0.01645515,0.02295742,0.00982806
703,2,20,1,1,2,19,-0.04878533,0.00620917,0.00644431,-0.00950488
704,3,20,1,1,2,19,0.0111217,-0.04457913,-0.01442827,0.0648897
705,1,20,1,1,3,19,-0.0,-0.00497216,-0.00154418,0.00132925
706,2,20,1,1,3,19,0.05027494,0.00842921,0.01244166,0.03585194
707,3,20,1,1,3,19,-0.03640901,0.00252915,0.03711711,0.00922229
708,1,20,1,1,4,19,0.0,-0.0,0.0,0.0
