,k1,L1,k2,L2,k3,L3,rho1
138,1,8,1,1,3,7,-0.0
139,2,8,1,1,3,7,-0.0
140,3,8,1,1,3,7,0.17727205
141,1,8,1,1,1,8,-0.00313228
142,2,8,1,1,1,8,-1.031e-05
143,3,8,1,1,1,8,-0.0
144,1,8,1,1,2,8,-0.11818441
145,2,8,1,1,2,8,-0.0021099
146,3,8,1,1,2,8,-3.01e-06
147,1,8,1,1,3,8,0.0
148,2,8,1,1,3,8,-0.21203365
149,3,8,1,1,3,8,-0.00124622
150,1,8,1,1,4,8,0.0
151,2,8,1,1,4,8,0.0
152,3,8,1,1,4,8,-0.2440426
153,1,8,1,1,5,8,0.0
154,2,8,1,1,5,8,0.0
155,3,8,1,1,5,8,0.0
156,1,8,1,1,1,9,-0.3139687
157,2,8,1,1,1,9,-0.00198842
158,3,8,1,1,1,9,-1.92e-06
159,1,8,1,1,2,9,-0.0
160,2,8,1,1,2,9,-0.25873267
161,3,8,1,1,2,9,-0.00081892
162,1,8,1,1,3,9,-0.0
163,2,8,1,1,3,9,-0.0
164,3,8,1,1,3,9,-0.16521209
165,1,8,1,1,4,9,-0.0
166,2,8,1,1,4,9,-0.0
167,3,8,1,1,4,9,-0.0
168,1,9,1,1,1,8,0.40191355
169,2,9,1,1,1,8,0.00088897
170,3,9,1,1,1,8,-8.29e-06
171,4,9,1,1,1,8,-0.0
172,1,9,1,1,2,8,-0.0
173,2,9,1,1,2,8,0.37973721
174,3,9,1,1,2,8,-0.00015886
175,4,9,1,1,2,8,-3.47e-06
176,1,9,1,1,3,8,-0.0
177,2,9,1,1,3,8,-0.0
178,3,9,1,1,3,8,0.31291563
179,4,9,1,1,3,8,-0.00053863
180,1,9,1,1,4,8,0.0
181,2,9,1,1,4,8,-0.0
182,3,9,1,1,4,8,-0.0
183,4,9,1,1,4,8,0.19974986
184,1,9,1,1,5,8,-0.0
185,2,9,1,1,5,8,-0.0
186,3,9,1,1,5,8,-0.0
187,4,9,1,1,5,8,-0.0
188,1,9,1,1,1,9,0.0
189,2,9,1,1,1,9,-0.10530157
190,3,9,1,1,1,9,-0.00242273
191,4,9,1,1,1,9,-4.81e-06
192,1,9,1,1,2,9,0.0
193,2,9,1,1,2,9,0.0
194,3,9,1,1,2,9,-0.18885854
195,4,9,1,1,2,9,-0.00154309
196,1,9,1,1,3,9,-0.0
197,2,9,1,1,3,9,0.0
198,3,9,1,1,3,9,0.0
199,4,9,1,1,3,9,-0.21737466
200,1,9,1,1,4,9,0.0
201,2,9,1,1,4,9,0.0
202,3,9,1,1,4,9,0.0
203,4,9,1,1,4,9,0.0
204,1,9,1,1,1,10,-0.32922296
205,2,9,1,1,1,10,-0.00525914
206,3,9,1,1,1,10,-1.246e-05
207,4,9,1,1,1,10,-0.0
208,1,9,1,1,2,10,-0.0
209,2,9,1,1,2,10,-0.31248926
210,3,9,1,1,2,10,-0.00246873
211,4,9,1,1,2,10,-3.23e-06
212,1,9,1,1,3,10,-0.0
213,2,9,1,1,3,10,-0.0
214,3,9,1,1,3,10,-0.26224718
215,4,9,1,1,3,10,-0.00112335
216,1,9,1,1,4,10,0.0
217,2,9,1,1,4,10,-0.0
218,3,9,1,1,4,10,-0.0
219,4,9,1,1,4,10,-0.17567963
220,1,9,1,1,5,10,-0.0
221,2,9,1,1,5,10,-0.0
222,3,9,1,1,5,10,-0.0
223,4,9,1,1,5,10,-0.0
224,1,10,1,1,1,9,0.38171842
225,2,10,1,1,1,9,0.00010983
226,3,10,1,1,1,9,-4.77e-06
227,1,10,1,1,2,9,-0.0
228,2,10,1,1,2,9,0.32022413
229,3,10,1,1,2,9,-0.0004164
230,1,10,1,1,3,9,0.0
231,2,10,1,1,3,9,-0.0
232,3,10,1,1,3,9,0.21444649
233,1,10,1,1,4,9,-0.0
234,2,10,1,1,4,9,-0.0
235,3,10,1,1,4,9,-0.0
236,1,10,1,1,1,10,-0.00387371
237,2,10,1,1,1,10,-2.058e-05
238,3,10,1,1,1,10,-1e-08
239,1,10,1,1,2,10,-0.09475474
240,2,10,1,1,2,10,-0.00272782
241,3,10,1,1,2,10,-7.11e-06
242,1,10,1,1,3,10,0.0
243,2,10,1,1,3,10,-0.17003479
244,3,10,1,1,3,10,-0.00182398
245,1,10,1,1,4,10,-0.0
246,2,10,1,1,4,10,0.0
247,3,10,1,1,4,10,-0.19571441
248,1,10,1,1,5,10,0.0
249,2,10,1,1,5,10,0.0
250,3,10,1,1,5,10,0.0
251,1,10,1,1,1,11,-0.31049039
252,2,10,1,1,1,11,-0.00297768
253,3,10,1,1,1,11,-4.99e-06
254,1,10,1,1,2,11,-0.0
255,2,10,1,1,2,11,-0.26380073
256,3,10,1,1,2,11,-0.00144888
257,1,10,1,1,3,11,0.0
258,2,10,1,1,3,11,-0.0
259,3,10,1,1,3,11,-0.18216776
260,1,10,1,1,4,11,-0.0
261,2,10,1,1,4,11,-0.0
262,3,10,1,1,4,11,-0.0
263,1,11,1,1,1,10,0.402168
264,2,11,1,1,1,10,0.00208906
265,3,11,1,1,1,10,-1.375e-05
266,4,11,1,1,1,10,-1e-08
267,1,11,1,1,2,10,0.0
268,2,11,1,1,2,10,0.38317598
269,3,11,1,1,2,10,0.00043079
270,4,11,1,1,2,10,-6.26e-06
271,1,11,1,1,3,10,-0.0
272,2,11,1,1,3,10,-0.0
273,3,11,1,1,3,10,0.32558029
274,4,11,1,1,3,10,-0.00025299
275,1,11,1,1,4,10,0.0
276,2,11,1,1,4,10,-0.0
277,3,11,1,1,4,10,-0.0
278,4,11,1,1,4,10,0.22474687
279,1,11,1,1,5,10,-0.0
280,2,11,1,1,5,10,-0.0
281,3,11,1,1,5,10,0.0
282,4,11,1,1,5,10,-0.0
283,1,11,1,1,1,11,0.0
284,2,11,1,1,1,11,-0.08611971
285,3,11,1,1,1,11,-0.00302551
286,4,11,1,1,1,11,-9.97e-06
287,1,11,1,1,2,11,0.0
288,2,11,1,1,2,11,0.0
289,3,11,1,1,2,11,-0.15442227
290,4,11,1,1,2,11,-0.0020929
291,1,11,1,1,3,11,0.0
292,2,11,1,1,3,11,-0.0
293,3,11,1,1,3,11,0.0
294,4,11,1,1,3,11,-0.1777497
295,1,11,1,1,4,11,-0.0
296,2,11,1,1,4,11,0.0
297,3,11,1,1,4,11,0.0
298,4,11,1,1,4,11,0.0
299,1,11,1,1,1,12,-0.32226118
300,2,11,1,1,1,12,-0.00711323
301,3,11,1,1,1,12,-2.432e-05
302,4,11,1,1,1,12,-1e-08
303,1,11,1,1,2,12,-0.0
304,2,11,1,1,2,12,-0.3076925
305,3,11,1,1,2,12,-0.00351746
306,4,11,1,1,2,12,-7.3e-06
307,1,11,1,1,3,12,0.0
308,2,11,1,1,3,12,-0.0
309,3,11,1,1,3,12,-0.26400636
310,4,11,1,1,3,12,-0.00179396
311,1,11,1,1,4,12,-0.0
