,rho1324,rho24,rho13,rho1234,rho34,rho12,value
0,0,0,0,0,0,0,-0.8116357
1,0,0,0,0,0,1,-0.0024601
2,0,0,0,0,0,2,0.00021674
3,1,0,0,0,0,0,0.04677166
4,1,0,0,0,0,1,-0.61958765
5,1,0,0,0,0,2,0.00152034
6,2,0,0,0,0,0,-0.00011079
7,2,0,0,0,0,1,0.06094766
8,2,0,0,0,0,2,-0.36019319
9,3,0,0,0,0,0,-6.18e-05
10,3,0,0,0,0,1,-0.00173027
11,3,0,0,0,0,2,0.04718185
