,rho1324,rho24,rho13,rho1234,rho34,rho12,value
0,0,0,0,0,0,0,-0.71197967
1,0,0,0,0,0,1,0.01399545
2,0,0,0,0,0,2,0.00010462
3,1,0,0,0,0,0,0.0213134
4,1,0,0,0,0,1,-0.55348328
5,1,0,0,0,0,2,0.01197319
6,2,0,0,0,0,0,0.00168957
7,2,0,0,0,0,1,0.0445803
8,2,0,0,0,0,2,-0.32925847
9,3,0,0,0,0,0,-8.931e-05
10,3,0,0,0,0,1,-0.00026094
11,3,0,0,0,0,2,0.04302291
